DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-08-01 15:33:03.646,867013.0,-0.0044,-0.0229,0.0033,0.04,0.09,-0.09,-22.875,66.5,-35.5,-9.75,0.28,-0.24,0.6809,0.1858,0.6878,-0.1697,3.0,3.0,1.0,3.0
2025-08-01 15:33:03.696,867063.0,-0.0153,-0.0185,0.0065,-0.04,-0.01,-0.16,-21.75,66.1875,-36.0,-9.84,0.17,-0.3,0.6812,0.1855,0.6876,-0.1694,3.0,3.0,1.0,3.0
2025-08-01 15:33:03.746,867113.0,0.0065,-0.0131,0.0065,0.01,0.12,-0.06,-23.25,66.5,-35.875,-9.78,0.31,-0.19,0.6815,0.1855,0.6874,-0.1696,3.0,3.0,1.0,3.0
2025-08-01 15:33:03.795,867163.0,-0.0196,-0.0011,0.0022,-0.02,-0.01,-0.07,-22.875,66.1875,-34.6875,-9.82,0.17,-0.21,0.6815,0.1854,0.6874,-0.1693,3.0,3.0,1.0,3.0
2025-08-01 15:33:03.845,867213.0,-0.0218,-0.0022,-0.0011,0.09,0.12,0.0,-22.875,66.1875,-36.0,-9.7,0.32,-0.13,0.6815,0.1852,0.6875,-0.169,3.0,3.0,1.0,3.0
2025-08-01 15:33:03.945,867313.0,-0.3632,-0.0425,-0.0644,-0.35,-0.88,0.35,-22.0625,66.875,-35.5,-10.15,-0.69,0.21,0.6832,0.1766,0.69,-0.1611,3.0,3.0,1.0,3.0
2025-08-01 15:33:03.997,867363.0,-0.1571,-0.1014,-0.0807,-0.27,-0.43,-0.27,-22.5,67.25,-34.25,-10.08,-0.28,-0.37,0.6848,0.1725,0.6896,-0.1604,3.0,3.0,1.0,3.0
2025-08-01 15:33:04.045,867413.0,-0.0065,-0.228,-0.0535,-0.08,0.29,-0.7,-22.0625,68.375,-35.5,-9.89,0.41,-0.73,0.6876,0.1696,0.6874,-0.1611,3.0,3.0,1.0,3.0
2025-08-01 15:33:04.145,867513.0,-0.5552,-0.3218,-0.4429,-0.49,1.79,-2.03,-24.0,68.0,-32.5625,-10.3,1.7,-1.81,0.696,0.1533,0.6822,-0.1633,3.0,3.0,1.0,3.0
2025-08-01 15:33:04.245,867612.0,0.1505,0.8061,1.1792,1.39,13.7,-7.34,-26.1875,68.375,-29.375,-8.4,13.36,-7.1,0.7009,0.1159,0.689,-0.1436,3.0,3.0,1.0,3.0
