DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 19:56:42.281,259730.0,-1.0014,-0.9316,0.0076,0.23,-0.91,0.1,-14.0625,39.875,26.5625,-6.17,-4.25,-6.52,0.4022,-0.3842,0.8308,-0.0189,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.343,259780.0,0.4898,-0.5127,-0.1898,0.97,-0.3,0.17,-14.875,40.0625,26.5625,-5.65,-3.51,-6.3,0.4119,-0.3926,0.8223,-0.002,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.381,259830.0,-0.8487,-0.1145,0.1734,1.94,2.62,-0.79,-14.0625,39.0,28.5625,-4.76,-0.65,-7.15,0.4191,-0.3884,0.8207,-0.0053,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.462,259880.0,-0.7843,0.4298,-0.1298,-1.23,-0.57,-0.29,-14.0625,38.5625,27.75,-7.87,-3.47,-6.9,0.4036,-0.3995,0.8229,0.0164,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.481,259930.0,-0.216,-0.5094,-0.4952,-1.12,-1.25,0.64,-13.6875,39.0,30.0625,-7.71,-4.11,-6.03,0.3986,-0.4106,0.8198,0.0215,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.532,259980.0,-0.1931,-0.3305,-0.2749,1.77,2.55,-1.16,-14.375,37.1875,30.5,-4.93,-0.46,-7.65,0.4111,-0.4182,0.8097,0.0225,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.589,260031.0,-1.7104,0.18,0.3033,-1.6,-3.07,0.7,-16.6875,35.6875,32.0625,-8.29,-5.65,-5.99,0.3956,-0.4294,0.8105,0.0472,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.632,260081.0,-0.1091,-0.0905,0.6414,-0.26,1.16,-0.75,-14.375,35.6875,32.0625,-7.03,-0.99,-7.5,0.3887,-0.4269,0.8136,0.0683,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.692,260131.0,-0.8476,-0.1047,1.2185,0.1,-0.04,-0.79,-15.875,34.1875,33.5625,-6.76,-1.72,-7.58,0.3823,-0.4121,0.8224,0.0872,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.732,260181.0,-1.3701,-0.0349,1.5763,-1.15,-1.12,-0.06,-12.5,33.0625,34.5,-8.13,-1.89,-6.91,0.3672,-0.393,0.8336,0.1259,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.782,260231.0,-0.6447,-0.2313,1.2152,0.69,1.94,0.08,-10.0,32.5625,38.0,-6.32,2.0,-6.76,0.3538,-0.3737,0.8423,0.1606,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.832,260281.0,-0.9741,0.1669,0.5869,1.71,-0.75,-0.26,-7.0,30.0625,39.0625,-5.28,-0.16,-7.1,0.344,-0.3606,0.8478,0.1816,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.882,260331.0,0.48,-0.0665,-0.4298,1.85,2.72,-0.49,-5.875,29.375,39.5,-5.09,3.33,-7.38,0.3391,-0.3662,0.8469,0.1837,3.0,0.0,1.0,3.0
2025-09-28 19:56:42.933,260382.0,-0.1287,0.2793,-0.5138,-1.85,-2.11,0.43,-5.5,28.25,41.0625,-8.75,-1.68,-6.51,0.3378,-0.3779,0.8436,0.1774,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.047,260432.0,0.2814,0.5018,-0.0873,-0.57,0.35,-0.53,-5.875,29.0625,40.0,-7.37,0.64,-7.59,0.3343,-0.3817,0.8452,0.168,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.049,260482.0,0.1418,0.5814,0.0033,-0.48,-0.62,0.06,-7.6875,28.25,40.6875,-7.09,-0.39,-7.17,0.3241,-0.3829,0.8502,0.1599,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.083,260532.0,0.6709,0.6283,-0.0556,-0.22,-0.23,-0.17,-8.5,28.5625,39.5,-6.61,-0.17,-7.6,0.3162,-0.382,0.8562,0.1448,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.133,260582.0,1.0603,0.5465,-0.2509,-0.88,0.1,-0.31,-10.0,30.0625,39.0625,-7.06,-0.2,-7.92,0.3129,-0.3811,0.8616,0.12,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.183,260632.0,0.7734,0.4571,0.0415,1.02,-0.44,0.19,-10.375,29.75,38.75,-4.99,-1.1,-7.52,0.3118,-0.3765,0.867,0.0966,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.233,260682.0,1.0276,0.5705,-0.0011,-0.25,0.28,-0.32,-12.5,32.25,36.375,-6.04,-0.71,-8.18,0.3073,-0.3704,0.8736,0.0723,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.302,260732.0,0.8912,0.3785,-0.0949,0.3,0.21,-0.55,-13.25,33.5,35.5625,-5.32,-1.17,-8.46,0.3071,-0.3649,0.8777,0.0471,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.334,260783.0,0.8847,0.192,-0.2738,-0.16,-1.36,0.05,-14.0,35.25,32.0625,-5.65,-3.11,-7.88,0.3079,-0.3627,0.8792,0.0253,3.0,0.0,1.0,3.0
2025-09-28 19:56:43.404,260833.0,1.2708,0.0513,-0.2214,0.54,-0.2,-0.02,-15.875,36.75,30.0625,-4.9,-2.47,-7.85,0.317,-0.3595,0.8776,-0.0016,3.0,0.0,1.0,3.0
