DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 19:54:49.468,146918.0,-0.1538,-0.1036,0.0349,-0.05,-0.94,0.3,17.1875,41.6875,24.75,-9.57,-1.14,-2.03,-0.6028,0.1844,-0.765,-0.1321,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.526,146968.0,0.3556,-0.1145,0.1854,-0.09,-0.74,0.17,18.0,41.6875,26.0,-9.63,-0.9,-2.11,-0.6049,0.1797,-0.7645,-0.1315,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.568,147018.0,0.3185,-0.0818,0.2007,0.2,0.61,-0.45,17.1875,41.6875,25.1875,-9.34,0.5,-2.69,-0.6078,0.1695,-0.7653,-0.1276,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.668,147119.0,0.0207,-0.0709,0.1407,0.18,-0.57,0.29,19.0625,41.6875,24.375,-9.37,-0.53,-1.86,-0.6095,0.1655,-0.7635,-0.1345,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.720,147169.0,0.1233,0.0371,0.1473,-0.13,0.23,-0.24,19.5,42.5,25.1875,-9.69,0.31,-2.41,-0.6094,0.1611,-0.7647,-0.1342,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.771,147219.0,-0.156,-0.1124,0.1658,0.11,0.33,-0.21,20.1875,40.5625,24.75,-9.45,0.5,-2.36,-0.6095,0.1579,-0.7646,-0.1374,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.819,147269.0,-0.2116,-0.0022,0.0251,0.23,-0.36,0.1,20.1875,41.375,23.1875,-9.33,-0.13,-2.01,-0.6096,0.16,-0.7632,-0.1428,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.886,147319.0,0.036,-0.0284,0.0349,0.3,-0.09,0.16,20.5,41.375,24.75,-9.26,0.15,-1.94,-0.6094,0.1599,-0.7631,-0.1442,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.919,147369.0,-0.0654,0.1865,-0.1265,0.42,0.86,-0.56,20.875,40.5625,24.75,-9.13,1.06,-2.72,-0.6082,0.1613,-0.7642,-0.142,3.0,0.0,0.0,3.0
2025-09-28 19:54:49.969,147420.0,-0.6567,0.1778,-0.1898,-0.25,-0.58,0.11,20.5,41.6875,26.0,-9.8,-0.41,-2.13,-0.603,0.1727,-0.7647,-0.1475,3.0,0.0,0.0,3.0
