DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-27 12:32:54.504,188940.0,0.0404,-0.2323,-0.1374,0.06,0.18,0.06,-1.1875,41.1875,-1.5,8.9,-3.67,-1.71,-0.6186,0.1164,0.7595,-0.1644,3.0,0.0,1.0,3.0
2025-09-27 12:32:54.813,189241.0,-0.06,0.0545,-0.06,-0.32,1.71,-0.83,-0.75,42.1875,0.5,8.63,-1.67,-2.95,-0.6085,0.0959,0.7738,-0.1479,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.101,189492.0,-1.4344,1.8577,-0.0087,-3.13,-5.22,-0.09,-5.5625,40.6875,-1.75,5.9,-7.86,-2.82,-0.5916,0.0895,0.7947,-0.1028,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.106,189542.0,1.7344,-0.925,-0.2465,2.68,-1.17,0.41,-4.5,41.375,-0.25,11.75,-3.79,-2.23,-0.5925,0.0661,0.794,-0.119,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.410,189793.0,-0.0796,0.1233,-0.1331,-0.75,1.13,0.1,-6.375,41.375,-0.6875,8.56,-1.12,-1.94,-0.6169,0.032,0.7767,-0.1229,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.413,189843.0,-0.204,0.1309,-0.0338,0.12,-0.83,0.21,-7.0625,41.375,-3.25,9.44,-3.07,-1.82,-0.618,0.0359,0.7764,-0.1185,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.739,190094.0,0.0785,-0.0033,0.0284,-0.12,0.79,0.04,-10.75,39.5625,-2.5625,9.27,-1.21,-1.93,-0.6199,0.0122,0.775,-0.1221,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.742,190144.0,-0.1898,0.5301,0.4952,1.32,-0.76,0.12,-8.1875,40.0,-3.0,10.7,-2.89,-1.76,-0.6232,0.0214,0.772,-0.1237,3.0,0.0,1.0,3.0
2025-09-27 12:32:55.765,190194.0,0.0164,0.2923,0.06,-1.5,0.34,0.35,-11.1875,39.875,-1.0,7.91,-1.86,-1.26,-0.6339,0.028,0.7628,-0.1247,3.0,0.0,1.0,3.0
2025-09-27 12:32:56.025,190395.0,-0.3796,0.1385,0.2356,0.14,0.49,-0.08,-6.375,40.6875,-2.1875,9.49,-1.95,-1.71,-0.6332,0.0431,0.7621,-0.1279,3.0,0.0,1.0,3.0
