DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-27 12:32:19.145,153581.0,0.6305,-0.2149,0.1963,-1.25,2.02,-0.38,-4.875,17.6875,-35.5625,7.69,4.24,2.93,-0.7411,-0.3619,0.4467,-0.3466,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.245,153631.0,-0.1287,-0.5738,-0.0076,0.46,0.19,-0.65,-5.1875,15.75,-36.25,9.52,2.33,2.44,-0.7338,-0.3646,0.4568,-0.3463,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.247,153681.0,-0.1625,-0.0731,0.0153,-0.67,0.57,0.36,-5.1875,14.6875,-36.25,8.42,2.69,3.36,-0.732,-0.3644,0.4626,-0.3425,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.295,153731.0,-0.5836,-0.3403,-0.0284,0.53,-2.0,0.69,-7.0,15.5,-35.5625,9.65,0.08,3.64,-0.7337,-0.3593,0.4696,-0.3347,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.355,153781.0,0.6152,0.0589,-0.2116,1.58,0.95,-1.59,-6.375,15.75,-35.5,10.71,3.09,1.27,-0.7318,-0.3635,0.4706,-0.3331,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.397,153832.0,-0.6872,0.1473,0.1014,-0.31,-0.51,0.5,-7.0,16.1875,-35.5625,8.78,1.59,3.48,-0.7346,-0.3601,0.4673,-0.3351,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.446,153882.0,0.3076,0.4178,-0.0654,0.86,-1.07,0.4,-7.75,15.75,-35.0625,9.93,0.99,3.5,-0.7397,-0.3523,0.4664,-0.3334,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.496,153932.0,0.0284,0.576,-0.0611,-0.58,1.22,-0.41,-7.0,16.1875,-36.0,8.37,3.4,2.92,-0.7443,-0.3557,0.4506,-0.3413,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.546,153982.0,-0.0654,0.432,-0.0153,-1.25,0.92,1.03,-5.5625,15.75,-36.25,7.63,3.09,4.58,-0.7512,-0.3493,0.444,-0.3415,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.697,154032.0,-0.5181,-0.0458,0.2029,-0.65,0.4,0.32,-4.5,15.75,-36.0,8.2,2.49,3.95,-0.7541,-0.3423,0.4445,-0.3415,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.799,154183.0,-0.9872,0.4734,0.024,1.46,0.87,-5.65,-5.25,19.1875,-35.5625,10.33,2.47,-1.76,-0.7681,-0.3022,0.459,-0.3286,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.847,154283.0,-0.0164,0.6512,-0.9796,11.74,3.93,0.9,-3.5,22.375,-33.25,20.45,5.37,5.18,-0.7998,-0.2548,0.4657,-0.2801,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.901,154333.0,-1.5272,3.0892,-2.1588,-5.03,2.46,-13.14,-4.5625,24.75,-30.0625,2.98,4.69,-7.95,-0.8407,-0.2535,0.4138,-0.2404,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.947,154383.0,-3.9684,-0.6763,1.3254,-4.11,-6.54,-7.4,-5.0,23.5625,-30.0625,3.68,-5.29,-1.59,-0.8658,-0.1777,0.4146,-0.2168,3.0,0.0,1.0,3.0
2025-09-27 12:32:19.997,154433.0,0.7221,-2.0529,1.7933,-3.31,-9.37,1.19,-2.6875,25.5,-29.0,4.91,-9.38,6.52,-0.8465,-0.1271,0.4604,-0.2351,3.0,0.0,1.0,3.0
