DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:40:22.523,955899.0,-5.3909,2.2526,-0.5509,-29.49,11.74,-7.83,30.875,13.6875,17.1875,-39.21,10.85,-8.77,-0.6453,0.2712,-0.6889,-0.1881,3.0,3.0,3.0,3.0
2025-09-28 20:40:22.576,955949.0,0.1833,0.7439,-1.7519,-2.3,-2.74,3.65,28.0,18.75,15.375,-11.99,-3.67,2.49,-0.6146,0.3486,-0.6613,-0.2519,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.623,955999.0,-1.6472,1.8053,-2.8013,-29.73,5.46,7.8,29.25,19.75,16.5,-39.21,3.81,5.92,-0.5952,0.3918,-0.6649,-0.2239,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.699,956050.0,-1.7181,2.9267,-2.0213,7.94,-5.41,-1.06,29.6875,21.0625,18.875,-1.48,-7.51,-2.75,-0.5923,0.4445,-0.6234,-0.2512,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.723,956100.0,-0.2465,-1.321,-1.0756,3.19,1.54,-0.78,30.0625,22.0,20.375,-5.94,-1.25,-2.94,-0.5821,0.4838,-0.6132,-0.226,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.817,956150.0,-0.6818,0.4625,-0.9796,-5.06,-1.93,1.29,28.5625,21.375,24.0,-14.02,-5.06,-1.16,-0.5715,0.5109,-0.6035,-0.2194,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.824,956200.0,-0.3054,0.3578,-0.6109,-1.05,-0.28,0.02,27.875,22.375,23.5625,-9.9,-3.67,-2.48,-0.5714,0.5251,-0.5934,-0.2137,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.874,956250.0,-0.0731,0.1516,-0.2596,0.57,-0.4,-0.01,26.375,23.375,25.375,-8.19,-3.94,-2.6,-0.5693,0.5336,-0.5893,-0.2097,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.934,956300.0,0.0033,-0.0873,0.0371,0.6,-0.65,0.18,26.6875,24.0,26.0625,-8.14,-4.22,-2.41,-0.5693,0.5356,-0.5878,-0.2086,2.0,3.0,3.0,3.0
2025-09-28 20:40:22.974,956350.0,0.3218,-0.1582,0.2116,0.52,-0.51,0.08,24.5,22.375,26.0,-8.25,-4.07,-2.42,-0.5731,0.5308,-0.5886,-0.2085,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.049,956400.0,0.6272,-0.3512,0.4669,-0.42,-0.61,-0.8,27.5,24.1875,26.0,-9.28,-4.09,-3.14,-0.5806,0.5183,-0.5923,-0.2085,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.074,956451.0,0.6763,-0.6861,0.7549,-2.71,0.0,-0.86,26.375,22.6875,24.25,-11.73,-3.28,-2.88,-0.5931,0.4964,-0.5972,-0.2125,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.163,956501.0,1.0428,-0.3185,-0.1298,-11.12,0.36,6.1,26.6875,24.0625,23.5,-20.24,-2.83,4.45,-0.6084,0.4771,-0.5973,-0.2134,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.175,956551.0,2.2264,0.3992,-1.1214,-8.12,8.13,2.88,28.1875,23.25,22.6875,-17.11,4.48,1.51,-0.6318,0.4611,-0.5977,-0.1759,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.225,956601.0,-1.1181,0.696,-2.4784,-0.92,5.71,3.06,26.375,23.25,20.0,-9.38,0.94,1.74,-0.647,0.4808,-0.5801,-0.1169,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.285,956651.0,5.9319,0.6032,0.3349,5.27,20.07,4.65,25.5625,25.1875,19.25,-2.94,14.78,3.91,-0.6774,0.4495,-0.5792,-0.0599,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.326,956701.0,-2.4118,-0.3022,4.888,-8.67,11.87,-1.85,21.875,25.5625,18.375,-17.62,7.9,-2.4,-0.6818,0.3751,-0.6223,-0.0858,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.375,956751.0,-1.7748,-0.853,5.5796,-10.01,-7.49,-0.63,24.375,30.0,15.0625,-19.7,-8.9,-1.16,-0.6506,0.3323,-0.6454,-0.2229,2.0,3.0,3.0,3.0
2025-09-28 20:40:23.426,956801.0,0.5214,-0.8727,5.272,-6.69,-5.05,-3.37,32.1875,23.6875,19.0,-16.44,-3.96,-3.38,-0.6339,0.2401,-0.6654,-0.3127,1.0,3.0,3.0,3.0
2025-09-28 20:40:23.475,956851.0,1.2174,-0.4952,4.9698,-6.08,-9.15,-0.95,38.0,9.0625,20.875,-15.25,-5.68,-0.76,-0.604,0.1395,-0.6862,-0.3807,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.530,956902.0,1.6428,-0.0818,4.0666,-4.54,-6.6,1.23,36.5625,-4.5,20.1875,-12.74,-1.22,1.11,-0.5665,0.0375,-0.7104,-0.4159,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.575,956952.0,-0.0807,-0.1909,2.8678,-4.98,-8.08,-0.54,31.5,-14.5625,21.1875,-12.19,-1.43,-0.8,-0.5318,-0.0292,-0.7159,-0.4515,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.644,957002.0,-0.8748,-0.1625,1.0777,0.98,-11.88,-0.63,22.6875,-21.5,22.6875,-5.58,-4.6,-0.59,-0.5164,-0.058,-0.7033,-0.4852,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.676,957052.0,-0.7909,0.504,-0.7778,-1.1,-8.13,1.94,17.0625,-25.1875,20.5,-7.73,-0.91,2.24,-0.5146,-0.0395,-0.6952,-0.5003,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.727,957102.0,-0.1505,0.0556,-1.057,-1.69,-4.63,0.6,14.6875,-28.6875,18.0625,-8.68,2.23,0.93,-0.5235,-0.0156,-0.6951,-0.4926,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.776,957152.0,0.0371,-0.1582,-1.6941,-2.16,-5.06,0.63,17.0625,-30.875,17.1875,-9.61,1.3,1.05,-0.5419,0.0103,-0.6917,-0.4772,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.830,957202.0,0.6349,0.312,-2.8493,-4.33,-5.93,0.83,20.0,-30.5625,17.5625,-12.45,-0.44,1.1,-0.5665,0.0454,-0.6959,-0.4391,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.876,957252.0,0.9087,-0.1833,-3.4241,-6.36,-0.48,-0.62,25.375,-30.0,17.1875,-15.24,3.68,-0.61,-0.5983,0.0875,-0.7012,-0.3778,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.931,957303.0,0.456,0.0698,-3.0783,-3.58,0.25,0.09,32.5,-25.375,17.5625,-12.99,3.01,0.05,-0.6289,0.1303,-0.6966,-0.3198,0.0,3.0,3.0,3.0
2025-09-28 20:40:23.983,957353.0,0.6261,0.1156,-2.8798,-2.58,0.07,-0.38,38.875,-16.5,19.5625,-12.29,1.45,-0.53,-0.6495,0.1738,-0.691,-0.2654,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.060,957403.0,-0.1004,0.1189,-2.5056,0.52,1.25,-2.96,40.1875,-8.375,19.875,-9.27,1.36,-3.2,-0.6638,0.2142,-0.683,-0.2169,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.077,957453.0,-0.372,-0.0076,-1.922,6.79,1.06,-1.34,39.5,-1.375,20.375,-2.96,0.14,-1.6,-0.6721,0.2558,-0.6694,-0.1868,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.127,957503.0,5.1422,0.865,1.4443,17.46,38.86,-20.44,38.875,4.75,18.5,7.72,37.71,-20.57,-0.6885,0.2227,-0.676,-0.1396,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.177,957553.0,-3.147,-0.9316,0.5312,7.86,-11.47,7.55,38.1875,9.5625,19.25,-1.89,-12.13,6.91,-0.6491,0.2749,-0.6761,-0.2145,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.230,957603.0,1.3319,0.6905,-1.8751,-27.23,7.49,5.59,39.0625,11.75,19.0,-36.92,6.51,4.43,-0.6361,0.2856,-0.6909,-0.1911,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.277,957653.0,-2.8776,1.4737,-0.66,7.02,-7.16,-0.14,41.6875,8.25,17.875,-2.6,-8.62,-1.29,-0.6309,0.337,-0.6673,-0.2077,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.357,957704.0,0.6534,-0.0622,-1.2861,2.78,3.14,-1.02,42.5,10.0625,19.875,-6.68,1.15,-2.61,-0.6196,0.3664,-0.6684,-0.1876,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.377,957754.0,-0.6447,0.468,-0.4309,-2.09,-3.66,0.92,42.0625,9.25,21.25,-11.44,-5.9,-1.01,-0.6071,0.3871,-0.67,-0.1808,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.428,957804.0,0.0785,0.6556,-0.5411,-1.06,1.89,-0.98,40.5625,11.5,22.0,-10.29,-0.62,-3.13,-0.6025,0.3976,-0.6721,-0.1649,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.477,957854.0,-0.2378,0.1091,-0.468,0.45,0.03,-0.43,39.5,11.0,22.6875,-8.69,-2.67,-2.72,-0.598,0.4096,-0.6702,-0.1594,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.528,957904.0,-0.2258,-0.1538,-0.5454,0.0,0.26,0.04,40.1875,12.375,24.25,-9.06,-2.65,-2.28,-0.598,0.4205,-0.6647,-0.1545,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.597,957954.0,-0.2705,0.2007,-0.4756,-0.02,0.14,0.04,40.5625,13.5,24.1875,-9.02,-2.95,-2.31,-0.5969,0.4323,-0.6586,-0.152,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.628,958004.0,-0.3272,-0.0371,-0.5672,0.59,0.31,-0.09,41.0,13.75,23.375,-8.32,-2.96,-2.51,-0.5951,0.4452,-0.6521,-0.1498,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.699,958054.0,-0.4036,-0.0982,-0.444,0.83,-0.48,0.22,40.5,14.5,25.375,-8.0,-3.97,-2.21,-0.5942,0.4601,-0.6428,-0.1486,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.728,958104.0,0.0316,-0.0687,-0.0567,-0.1,-0.69,-0.03,40.5,14.0625,25.25,-8.9,-4.24,-2.53,-0.5922,0.4666,-0.64,-0.1485,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.781,958155.0,0.2443,-0.2749,0.2509,-0.45,-0.75,-0.04,40.875,14.75,24.5,-9.27,-4.28,-2.44,-0.5963,0.462,-0.6393,-0.1492,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.828,958205.0,0.6043,-0.6785,0.6654,-1.7,-0.87,-0.47,40.0625,14.75,24.5,-10.66,-4.25,-2.58,-0.607,0.4464,-0.639,-0.1547,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.879,958255.0,1.237,-0.4789,0.3512,-7.3,0.68,-0.02,40.5,14.375,23.6875,-16.42,-2.49,-1.72,-0.6213,0.4304,-0.6334,-0.1663,0.0,3.0,3.0,3.0
2025-09-28 20:40:24.939,958305.0,2.2493,0.1265,-1.0592,-9.42,6.37,2.72,40.5,14.0,24.5,-18.48,2.87,1.41,-0.6425,0.417,-0.6268,-0.1429,0.0,3.0,3.0,3.0
