DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:36:54.926,748305.0,-0.0447,-0.0731,-0.1931,0.67,-0.41,-0.28,10.1875,12.6875,15.5625,-9.01,-1.82,-0.79,-0.6552,0.3193,-0.6513,-0.2111,3.0,3.0,3.0,3.0
2025-09-28 20:36:54.976,748355.0,-0.1876,-0.0884,-0.3098,-0.33,0.41,0.24,10.5,12.6875,15.5625,-10.01,-1.11,-0.25,-0.6567,0.3248,-0.6478,-0.2087,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.026,748405.0,-0.168,-0.1745,-0.3512,-0.68,0.78,-0.49,9.375,12.1875,15.5625,-10.33,-0.89,-0.94,-0.6592,0.3318,-0.6424,-0.2067,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.077,748456.0,-0.0098,-0.1724,-0.6338,-0.79,2.28,-3.05,9.375,12.875,15.5625,-10.41,0.38,-3.43,-0.6635,0.3397,-0.6353,-0.202,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.142,748506.0,-0.3196,0.0044,-1.3952,-1.28,3.88,-1.58,9.75,12.875,15.875,-10.78,1.48,-1.96,-0.6673,0.3594,-0.6246,-0.1881,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.177,748556.0,-1.6701,-0.3229,-1.97,0.11,2.08,0.25,10.0625,12.5625,15.5,-9.13,-1.13,-0.18,-0.6683,0.4033,-0.5997,-0.1763,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.227,748606.0,0.7047,-0.5007,0.7799,3.4,14.02,4.52,9.375,14.0625,15.5,-5.68,10.4,4.01,-0.6639,0.4364,-0.5795,-0.1816,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.277,748656.0,-1.1726,2.1086,4.3982,1.52,11.92,-4.89,10.0625,13.6875,16.6875,-7.98,9.63,-5.58,-0.6419,0.4011,-0.6119,-0.2295,1.0,3.0,3.0,3.0
2025-09-28 20:36:55.327,748706.0,-1.6952,-1.2305,1.417,-9.02,-11.36,0.75,11.875,14.0625,17.5,-18.67,-12.2,-0.74,-0.584,0.3926,-0.65,-0.2868,1.0,3.0,3.0,3.0
2025-09-28 20:36:55.383,748756.0,-1.5708,1.813,1.129,2.71,-4.55,-1.21,17.5,13.25,17.875,-6.98,-4.49,-2.65,-0.5632,0.3798,-0.6552,-0.3306,1.0,3.0,3.0,3.0
2025-09-28 20:36:55.427,748806.0,-1.2315,-1.8217,-1.1083,1.06,-13.23,3.74,22.0,12.1875,19.375,-8.62,-13.03,2.24,-0.543,0.4048,-0.6423,-0.3588,1.0,3.0,3.0,3.0
2025-09-28 20:36:55.493,748857.0,2.258,0.5094,-0.9043,2.53,-7.01,4.8,24.375,10.0,21.6875,-7.18,-7.42,3.63,-0.5667,0.4157,-0.6223,-0.3447,1.0,3.0,3.0,3.0
2025-09-28 20:36:55.529,748907.0,-1.3788,-0.4538,-0.3338,0.81,-0.91,-0.65,25.6875,9.375,21.5625,-8.86,-1.74,-1.98,-0.5737,0.423,-0.6237,-0.3209,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.584,748957.0,0.4342,-0.1331,-0.4298,-1.18,2.97,-1.71,26.0,12.875,21.0625,-10.83,1.89,-3.13,-0.5764,0.4294,-0.6226,-0.3094,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.628,749007.0,0.6076,0.2105,-0.2476,-2.91,1.72,-0.4,25.5625,12.875,21.875,-12.54,0.49,-1.83,-0.5809,0.4296,-0.6232,-0.2994,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.683,749057.0,0.6981,0.0131,-0.3262,0.06,1.47,-0.64,24.875,13.5625,20.5625,-9.54,0.05,-2.0,-0.5905,0.4248,-0.6234,-0.2866,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.735,749107.0,0.5203,-0.0436,-0.3796,-0.04,0.87,-0.31,24.875,14.375,21.0,-9.62,-0.74,-1.62,-0.5986,0.4226,-0.6232,-0.2733,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.778,749157.0,0.4811,0.012,-0.4505,0.03,0.62,-0.04,24.5,15.0625,19.75,-9.51,-1.21,-1.31,-0.606,0.4221,-0.6219,-0.2604,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.851,749207.0,0.2694,-0.0164,-0.5705,-0.06,0.04,0.02,23.75,15.75,19.75,-9.56,-2.05,-1.2,-0.6129,0.4254,-0.6177,-0.2487,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.879,749258.0,0.4102,-0.0382,-0.6665,-0.53,0.64,-0.08,23.0,16.1875,19.75,-9.97,-1.77,-1.25,-0.621,0.4289,-0.613,-0.2336,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.929,749308.0,0.3338,-0.0654,-0.877,-1.11,3.57,0.37,23.0,16.875,19.75,-10.45,0.78,-0.72,-0.6303,0.4334,-0.6069,-0.2159,2.0,3.0,3.0,3.0
2025-09-28 20:36:55.979,749358.0,-0.1996,-0.2018,-1.4181,-1.5,3.95,0.0,22.1875,17.25,19.0,-10.68,0.66,-1.07,-0.6356,0.4527,-0.5916,-0.2029,2.0,3.0,3.0,3.0
2025-09-28 20:36:56.029,749408.0,-0.5574,0.2825,-2.6496,-4.44,4.8,-0.73,21.75,19.5625,19.0,-13.22,0.59,-1.87,-0.642,0.4873,-0.5662,-0.1729,2.0,3.0,3.0,3.0
2025-09-28 20:36:56.087,749458.0,-0.4145,0.1254,-2.1675,-3.8,5.72,5.27,21.0625,18.6875,19.75,-11.93,0.42,3.88,-0.6409,0.5354,-0.5327,-0.1369,2.0,3.0,3.0,3.0
