DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:33:19.111,532493.0,-0.0273,-0.1713,-0.3087,0.2,-0.06,0.42,-2.375,19.6875,25.0,-2.85,-5.78,-6.92,0.3449,-0.7036,0.6161,-0.0798,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.222,532543.0,-0.012,-0.1778,-0.2345,-0.02,-0.89,0.16,-2.375,19.6875,24.5625,-3.06,-6.65,-7.16,0.3461,-0.7057,0.6129,-0.0804,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.224,532593.0,0.685,-0.372,0.0011,-0.99,-2.14,0.39,-2.75,19.25,23.0,-4.12,-8.01,-6.81,0.3545,-0.7019,0.6123,-0.0823,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.282,532643.0,0.9239,-0.5989,0.156,-0.77,1.89,-1.84,-1.6875,19.6875,23.75,-4.1,-4.32,-8.64,0.3809,-0.6898,0.6093,-0.0897,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.311,532693.0,0.2291,-0.5716,0.3774,2.5,1.47,-0.16,-1.6875,21.0625,21.875,-1.13,-4.81,-6.74,0.3967,-0.678,0.613,-0.085,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.362,532743.0,-0.1396,0.2673,0.1844,0.71,1.47,0.01,-0.1875,21.0625,22.1875,-3.03,-4.8,-6.51,0.3998,-0.6707,0.619,-0.0841,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.412,532793.0,-0.6894,0.625,0.1331,-0.43,-0.73,0.68,0.1875,20.6875,21.0625,-4.06,-6.82,-6.08,0.3841,-0.67,0.6296,-0.0847,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.463,532844.0,0.1549,0.5301,0.0731,-0.35,-0.11,0.99,0.25,20.375,21.375,-3.8,-6.09,-5.96,0.3697,-0.6674,0.6401,-0.0907,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.524,532894.0,0.3382,-0.0295,-0.3076,0.87,1.32,-2.71,-1.1875,20.5,22.1875,-2.48,-4.8,-9.58,0.3729,-0.6628,0.6412,-0.1023,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.563,532944.0,-0.0905,-0.5269,-0.5083,1.29,2.73,-3.1,-0.75,20.0625,24.1875,-2.01,-3.49,-9.92,0.3766,-0.6682,0.6332,-0.1038,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.631,532994.0,-1.4257,-0.8825,-0.7538,1.44,-0.81,1.7,-0.375,20.5,22.5625,-1.88,-6.9,-5.22,0.3728,-0.6878,0.6166,-0.0877,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.662,533044.0,-1.0461,-0.2105,0.5945,-0.17,-5.14,2.48,-1.1875,20.0625,23.375,-3.7,-10.65,-4.82,0.3531,-0.7004,0.6179,-0.0545,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.733,533094.0,1.3112,-0.0076,2.0093,2.04,1.35,-0.59,-1.1875,16.75,26.875,-1.88,-4.11,-7.72,0.3659,-0.6709,0.6429,-0.0521,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.762,533144.0,-0.7058,0.2858,1.6482,-2.68,-0.82,2.73,-0.1875,15.5625,27.6875,-7.07,-6.1,-4.26,0.3751,-0.6331,0.6755,-0.0471,0.0,3.0,3.0,3.0
2025-09-28 20:33:19.812,533194.0,0.2803,-0.8378,1.2348,-2.99,-0.57,-2.03,0.5625,16.375,26.0625,-7.93,-5.36,-9.02,0.3787,-0.6187,0.6882,-0.0146,1.0,3.0,3.0,3.0
2025-09-28 20:33:19.872,533244.0,0.8988,-0.7854,0.5574,-2.74,1.49,-2.25,2.0625,15.5625,26.0625,-8.11,-3.39,-8.84,0.4043,-0.5927,0.6965,-0.0134,1.0,3.0,3.0,3.0
