DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:33:04.125,517507.0,-1.4094,-0.4898,-0.1702,0.33,1.25,-0.94,19.875,4.0625,22.0625,-8.61,0.16,-4.8,-0.3996,0.6437,-0.5311,-0.3792,1.0,3.0,3.0,3.0
2025-09-28 20:33:04.175,517557.0,-2.1031,-0.6174,-0.1167,-0.36,-2.79,-0.5,20.5625,3.375,20.875,-9.41,-3.6,-4.2,-0.3784,0.6576,-0.5065,-0.4098,1.0,3.0,3.0,3.0
2025-09-28 20:33:04.237,517607.0,-0.2989,-0.7276,0.3502,-1.1,-6.21,2.67,21.0,1.5,21.375,-10.27,-6.75,-0.76,-0.3646,0.6616,-0.4876,-0.4377,1.0,3.0,3.0,3.0
2025-09-28 20:33:04.283,517657.0,2.9562,-0.8061,0.6981,0.52,-1.03,2.21,21.75,-1.375,21.375,-8.79,-1.62,-0.78,-0.3973,0.6299,-0.5061,-0.4349,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.325,517707.0,2.9943,-0.1734,0.4854,1.26,5.22,0.27,21.375,-1.75,19.0,-8.15,4.53,-2.37,-0.4456,0.5794,-0.5474,-0.4074,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.476,517757.0,-0.2945,0.1931,-0.5421,0.28,5.57,-2.89,21.0,1.0625,18.5625,-9.1,4.68,-5.56,-0.4611,0.5691,-0.559,-0.3886,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.481,517858.0,-2.0649,0.54,-1.6592,1.73,-1.26,2.42,21.0,3.0,17.375,-7.46,-2.74,-0.62,-0.424,0.6458,-0.4881,-0.4062,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.526,517908.0,-0.7199,1.6286,-1.2512,1.52,-3.79,0.73,22.5,1.5,18.5625,-7.36,-5.7,-2.92,-0.4008,0.6904,-0.4584,-0.3907,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.681,518008.0,-0.1342,2.0835,-1.9428,-0.24,2.92,-1.92,22.5,2.25,23.25,-7.93,-0.77,-6.76,-0.4219,0.7387,-0.4484,-0.2743,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.752,518108.0,0.5651,0.1189,0.1134,-4.56,-4.8,-3.97,18.375,9.25,29.0,-11.21,-8.87,-9.92,-0.382,0.7914,-0.4205,-0.2255,3.0,3.0,3.0,3.0
2025-09-28 20:33:04.776,518158.0,0.4494,2.0769,2.0617,-22.41,-4.84,-3.78,18.5,9.875,32.5,-29.26,-8.64,-9.69,-0.3832,0.7742,-0.449,-0.2285,3.0,3.0,3.0,3.0
2025-09-28 20:33:04.826,518208.0,6.605,-2.3955,3.7186,0.37,6.81,1.55,17.875,9.375,30.375,-7.01,2.87,-3.55,-0.4435,0.6973,-0.5236,-0.2069,3.0,3.0,3.0,3.0
2025-09-28 20:33:04.876,518258.0,1.0308,1.3123,-1.213,2.57,11.7,5.15,13.5625,6.25,28.6875,-5.07,7.26,0.91,-0.5036,0.6403,-0.5534,-0.1736,3.0,3.0,3.0,3.0
2025-09-28 20:33:04.927,518309.0,-0.5018,0.4658,0.8149,2.79,1.65,9.53,13.1875,5.5625,22.5,-4.58,-2.62,4.68,-0.4761,0.6516,-0.5679,-0.1623,2.0,3.0,3.0,3.0
2025-09-28 20:33:04.988,518359.0,1.1585,-1.8751,1.7551,11.12,5.21,4.13,9.1875,2.375,25.75,3.27,1.19,-0.14,-0.4984,0.6218,-0.576,-0.1823,1.0,3.0,3.0,3.0
2025-09-28 20:33:05.027,518409.0,0.1025,-0.6185,2.6638,6.55,3.63,4.56,8.0625,-3.0625,26.6875,-1.95,0.48,0.84,-0.5114,0.5735,-0.6005,-0.2213,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.077,518459.0,-1.1268,-1.5544,1.7933,6.18,1.94,4.46,11.5625,-7.5625,25.5,-2.8,-0.14,1.16,-0.5065,0.5417,-0.6124,-0.274,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.127,518509.0,-1.8686,-2.7402,0.5411,10.15,2.71,2.39,16.25,-12.375,21.875,0.76,1.34,-0.07,-0.5094,0.5289,-0.5884,-0.3384,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.177,518559.0,-6.1686,-9.5971,-0.0458,45.89,-37.94,-25.2,26.375,-15.875,19.5625,37.6,-38.84,-30.37,-0.3361,0.6931,-0.5321,-0.3516,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.228,518609.0,6.8199,6.437,0.1909,-9.52,1.57,-14.16,36.0625,-20.25,21.5,-16.93,-1.59,-19.75,-0.4093,0.6915,-0.5535,-0.2187,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.278,518659.0,-1.4508,-1.0396,2.6038,-20.6,-4.11,-8.68,38.75,-18.0625,24.75,-27.92,-6.93,-14.57,-0.4016,0.6558,-0.6084,-0.1961,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.343,518710.0,7.4962,-4.5815,5.464,-0.48,4.74,-6.49,29.75,-8.25,35.1875,-8.84,2.55,-11.11,-0.4665,0.5456,-0.6619,-0.2156,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.381,518760.0,3.987,-0.2607,-1.1126,15.71,11.47,2.26,29.0,-13.5,31.25,6.6,9.2,-0.56,-0.5719,0.4062,-0.6924,-0.1686,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.428,518810.0,1.1137,1.2185,0.7756,-1.71,4.93,8.74,29.75,-15.6875,21.5625,-10.38,1.92,5.26,-0.5596,0.3983,-0.7203,-0.0967,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.478,518860.0,-2.8503,-2.4958,0.9141,10.32,11.4,1.36,26.0,-15.875,20.1875,1.41,8.82,-1.81,-0.5658,0.4005,-0.7082,-0.1341,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.528,518910.0,-5.0015,0.3622,1.6297,9.0,-3.12,0.65,25.0625,-19.5625,15.0625,-0.23,-4.17,-2.44,-0.5285,0.4279,-0.6891,-0.2506,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.579,518960.0,-2.7216,-0.432,0.5411,6.32,-7.64,3.64,31.0,-19.75,1.5625,-2.92,-7.68,0.36,-0.4784,0.4594,-0.6751,-0.323,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.632,519010.0,0.9021,-0.733,-1.2381,9.48,-2.81,3.55,36.75,-16.0625,-0.75,0.08,-3.03,0.77,-0.4956,0.4652,-0.652,-0.336,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.697,519060.0,-0.1745,-2.726,-0.8334,7.3,2.38,6.06,42.0,-12.1875,0.1875,-2.23,1.62,3.96,-0.532,0.4631,-0.6267,-0.3313,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.729,519111.0,-5.5687,-9.6266,-3.5387,17.75,-23.35,-33.12,50.0625,-11.6875,8.5,9.4,-24.88,-38.02,-0.4143,0.607,-0.6174,-0.2806,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.808,519161.0,6.2701,6.8024,-0.312,-11.75,-2.75,-17.34,53.5625,-21.875,18.375,-19.87,-5.16,-22.28,-0.4363,0.6166,-0.6098,-0.24,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.829,519211.0,3.0314,-3.8354,3.2605,-14.85,7.33,-15.12,47.0625,-20.75,20.6875,-22.89,4.71,-20.08,-0.4655,0.5421,-0.6774,-0.1747,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.879,519261.0,6.0967,-4.5368,4.4844,5.88,12.71,-5.94,41.5625,-15.0,40.875,-3.19,10.61,-9.02,-0.5591,0.4106,-0.6985,-0.1755,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.933,519311.0,-0.8399,3.9663,-3.747,6.48,2.88,16.25,48.75,-6.875,31.25,-2.69,0.53,13.75,-0.5937,0.3691,-0.701,-0.1411,0.0,3.0,3.0,3.0
2025-09-28 20:33:05.979,519361.0,0.0829,-0.2662,0.3742,0.91,9.87,5.39,44.375,2.0,11.6875,-7.54,6.74,1.53,-0.5444,0.4056,-0.7295,-0.0837,0.0,3.0,3.0,3.0
2025-09-28 20:33:06.115,519411.0,-2.8034,-1.2425,2.1577,17.95,4.98,0.21,30.6875,7.6875,16.1875,8.9,2.62,-2.76,-0.5705,0.3973,-0.7026,-0.1515,0.0,3.0,3.0,3.0
2025-09-28 20:33:06.117,519461.0,-5.8087,1.9853,-0.396,0.22,0.1,1.04,21.25,7.1875,17.0625,-8.64,-1.06,-2.98,-0.4948,0.4423,-0.714,-0.223,0.0,3.0,3.0,3.0
2025-09-28 20:33:06.174,519512.0,-4.7146,-2.1249,-1.3646,8.0,-6.56,6.59,15.75,-0.75,20.875,-0.85,-7.28,2.45,-0.4421,0.5352,-0.6514,-0.3062,0.0,3.0,3.0,3.0
