DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:34:00.115,573496.0,-0.0753,0.0175,0.0055,-0.29,-0.97,0.56,11.1875,-2.1875,19.1875,-9.52,-1.68,-2.67,-0.3798,0.6541,-0.4871,-0.4365,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.165,573546.0,0.1047,-0.0076,0.06,-0.07,-0.38,0.46,11.875,-2.875,18.875,-9.31,-1.08,-2.76,-0.3806,0.6531,-0.4878,-0.4366,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.216,573597.0,0.0938,-0.0393,0.0469,0.13,-0.09,0.23,11.5625,-2.875,19.6875,-9.1,-0.77,-2.97,-0.3816,0.6514,-0.4894,-0.4365,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.280,573647.0,0.0491,0.0022,0.0087,0.03,0.13,0.14,11.875,-2.875,18.875,-9.21,-0.54,-3.06,-0.382,0.6506,-0.4901,-0.4365,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.316,573697.0,-0.1527,-0.0251,-0.0556,0.33,-0.26,0.3,12.25,-2.1875,18.0625,-8.91,-0.93,-2.89,-0.3812,0.6516,-0.4884,-0.4378,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.387,573747.0,0.0654,0.0491,-0.0894,-0.06,-0.22,0.37,12.25,-2.5,18.875,-9.3,-0.92,-2.83,-0.3808,0.6533,-0.4867,-0.4374,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.416,573797.0,0.0654,-0.0076,-0.2138,1.24,0.05,0.35,11.1875,-2.875,18.5,-7.99,-0.71,-2.84,-0.3834,0.6542,-0.485,-0.4355,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.466,573847.0,0.072,0.288,-0.2967,-0.44,0.36,0.13,11.5625,-3.25,18.0625,-9.63,-0.55,-3.15,-0.3852,0.6595,-0.4829,-0.4283,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.516,573897.0,-0.4418,0.2302,-0.2422,-0.16,-0.97,0.31,11.5625,-2.5,18.875,-9.3,-1.99,-3.09,-0.3809,0.6687,-0.4761,-0.4256,2.0,3.0,3.0,3.0
2025-09-28 20:34:00.566,573947.0,0.0251,0.1538,-0.1593,0.01,-1.06,0.98,11.5625,-1.75,19.6875,-9.08,-2.12,-2.51,-0.3774,0.6743,-0.473,-0.4232,3.0,3.0,3.0,3.0
