DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:32:26.955,480317.0,0.7636,0.7767,-1.3919,0.28,2.09,1.65,16.0,7.5,22.875,-9.25,0.72,-0.15,0.5494,-0.4822,0.5997,0.3256,3.0,3.0,3.0,3.0
2025-09-28 20:32:26.985,480367.0,-0.0305,1.4966,-2.7893,-11.09,2.19,4.64,16.0,9.0,22.875,-20.3,-0.17,2.25,0.5513,-0.515,0.597,0.2728,3.0,3.0,3.0,3.0
2025-09-28 20:32:27.035,480417.0,-2.8263,0.9294,-3.1667,-6.81,-3.8,-1.48,13.6875,12.0,23.375,-15.54,-7.17,-4.43,0.5387,-0.5757,0.5644,0.2445,3.0,3.0,3.0,3.0
2025-09-28 20:32:27.099,480467.0,-1.561,0.3207,-3.1623,-1.81,-13.13,3.3,12.25,14.5625,23.6875,-9.82,-17.4,-0.39,0.5075,-0.6597,0.5034,0.2322,3.0,3.0,3.0,3.0
2025-09-28 20:32:27.189,480517.0,2.5122,0.0938,-3.5616,-6.0,-3.55,0.0,9.6875,13.5,24.0625,-13.13,-9.31,-3.48,0.5427,-0.6821,0.4612,0.1658,3.0,3.0,3.0,3.0
2025-09-28 20:32:27.192,480567.0,1.3417,-1.5599,-3.7339,-0.82,-0.67,-1.32,6.375,14.1875,24.0625,-6.92,-7.92,-3.86,0.5984,-0.6904,0.3908,0.1115,2.0,3.0,3.0,3.0
2025-09-28 20:32:27.235,480617.0,1.4584,-1.6701,-3.543,-1.75,-2.37,-1.94,2.0625,15.1875,19.375,-6.65,-10.7,-3.61,0.6396,-0.7001,0.3085,0.0748,2.0,3.0,3.0,3.0
2025-09-28 20:32:27.304,480668.0,2.9005,-1.8577,-3.2005,-2.15,-0.41,-5.41,-1.375,15.75,16.5625,-5.72,-9.54,-5.69,0.6959,-0.6806,0.2266,0.0356,1.0,3.0,3.0,3.0
2025-09-28 20:32:27.376,480718.0,3.0587,-1.3624,-2.9911,-1.78,0.63,-6.04,-3.0625,14.0625,13.875,-3.93,-8.84,-4.71,0.7537,-0.6397,0.1508,-0.006,1.0,3.0,3.0,3.0
2025-09-28 20:32:27.386,480768.0,0.8596,0.3774,0.7418,18.47,31.66,-6.67,-5.0625,15.1875,13.375,17.39,22.26,-4.07,0.7939,-0.5978,0.1025,-0.0439,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.436,480818.0,-4.8913,-2.0148,-3.0227,6.02,1.98,8.39,-7.0,17.6875,10.6875,5.41,-7.78,9.06,0.7245,-0.6696,0.1317,-0.0967,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.486,480868.0,1.8708,0.3153,0.5814,-6.1,6.85,1.18,-8.5,17.5,11.25,-6.72,-2.9,1.84,0.7245,-0.671,0.1284,-0.0922,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.542,480918.0,4.2499,-2.7107,-1.2479,-8.42,1.96,-3.05,-9.6875,15.0625,13.75,-9.06,-7.57,-0.88,0.7776,-0.6156,0.1025,-0.0764,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.586,480968.0,4.4211,-1.561,1.957,6.78,13.23,-10.7,-11.6875,16.5625,12.25,6.25,4.52,-6.23,0.8526,-0.5192,0.0502,-0.0305,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.689,481019.0,-2.0159,1.8141,2.2449,-3.17,15.3,-11.31,-10.5625,18.875,9.5,-4.63,6.82,-6.61,0.8601,-0.5024,0.0881,-0.0028,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.691,481069.0,-8.2129,0.5836,3.2223,-4.86,7.56,-11.13,-9.0,20.875,7.5,-7.78,-1.59,-9.18,0.7722,-0.6157,0.1458,0.0589,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.737,481119.0,-9.1477,-0.5334,4.2259,-10.98,-5.12,-5.32,-9.0,19.375,9.25,-15.61,-13.52,-7.34,0.6091,-0.7534,0.189,0.1604,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.787,481169.0,-2.4271,-3.6979,4.9971,-7.82,-10.55,0.64,-4.875,15.6875,13.0625,-14.42,-16.96,-2.73,0.4905,-0.7928,0.209,0.2952,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.837,481219.0,2.7271,-1.8293,6.8101,-8.23,-3.57,-2.98,1.0625,11.5625,17.0,-16.81,-7.82,-5.05,0.4753,-0.7172,0.3023,0.4102,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.899,481269.0,2.0311,-1.2774,6.7479,-9.68,-2.1,-3.79,12.6875,9.5625,19.6875,-19.31,-3.43,-5.02,0.4499,-0.6146,0.4301,0.4847,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.937,481319.0,-1.837,0.5432,2.7227,8.69,-6.4,-12.82,20.1875,3.6875,18.5,-1.04,-5.52,-13.55,0.4016,-0.5505,0.4838,0.5491,0.0,3.0,3.0,3.0
2025-09-28 20:32:27.987,481369.0,-2.8373,2.3933,-2.3595,-6.88,-15.88,1.92,22.0,-6.875,18.5625,-16.48,-16.22,-0.04,0.3526,-0.658,0.4095,0.5245,0.0,3.0,3.0,3.0
2025-09-28 20:32:28.038,481420.0,4.7778,0.3687,-0.5149,10.01,-1.71,-10.18,21.875,-14.75,20.1875,0.43,-2.6,-12.07,0.387,-0.6534,0.412,0.5035,0.0,3.0,3.0,3.0
2025-09-28 20:32:28.088,481470.0,2.2406,2.4871,0.2858,-4.31,8.77,-1.27,24.375,-12.75,20.0,-13.69,7.32,-3.74,0.4341,-0.6367,0.4698,0.4308,0.0,3.0,3.0,3.0
2025-09-28 20:32:28.138,481520.0,-3.2278,-1.2425,-0.0982,3.48,-1.91,-0.29,22.5625,-5.75,24.875,-5.83,-3.2,-3.06,0.4055,-0.6582,0.4561,0.4409,0.0,3.0,3.0,3.0
2025-09-28 20:32:28.188,481570.0,-0.468,1.0908,0.0436,0.77,-5.64,2.31,22.1875,-3.6875,28.0625,-8.53,-6.57,-0.62,0.3682,-0.6778,0.436,0.4636,0.0,3.0,3.0,3.0
2025-09-28 20:32:28.289,481620.0,2.1729,0.4156,0.1113,0.63,2.57,-1.69,23.375,-6.875,26.6875,-8.55,1.4,-4.91,0.3864,-0.6711,0.4622,0.4321,0.0,3.0,3.0,3.0
2025-09-28 20:32:28.291,481670.0,-0.1734,0.5956,0.1178,-0.17,1.51,-0.76,21.875,-7.5,27.75,-9.29,0.23,-4.14,0.3946,-0.6668,0.477,0.4149,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.338,481720.0,-0.7058,0.2323,0.0273,-1.48,-3.23,0.8,21.875,-3.25,28.0625,-10.52,-4.36,-2.83,0.3747,-0.6797,0.4727,0.4173,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.388,481770.0,1.765,-0.1734,0.204,1.1,-0.05,-0.29,21.0625,-4.0625,28.0,-7.96,-1.24,-3.83,0.3879,-0.6684,0.4836,0.411,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.438,481821.0,1.165,-0.1538,0.0982,-0.21,3.29,-1.76,20.375,-4.75,28.375,-9.31,1.88,-5.14,0.415,-0.6491,0.5012,0.394,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.489,481871.0,-0.2662,-0.3774,-0.1494,0.66,2.53,-0.91,20.6875,-1.75,28.25,-8.48,1.09,-4.13,0.4225,-0.6436,0.4996,0.3972,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.539,481921.0,-0.9359,-0.1571,-0.2705,0.93,-1.06,2.24,20.6875,-0.25,28.25,-8.24,-2.5,-0.89,0.4166,-0.6514,0.4856,0.4078,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.604,481971.0,-0.3523,0.3949,0.0415,-0.6,-3.99,1.76,21.0625,-0.6875,28.25,-9.72,-5.38,-1.54,0.4034,-0.6631,0.4783,0.4108,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.639,482021.0,1.837,0.1778,0.3458,0.33,-0.43,-1.14,21.875,-1.75,27.0625,-8.76,-1.85,-4.51,0.412,-0.6536,0.4946,0.3981,1.0,3.0,3.0,3.0
2025-09-28 20:32:28.689,482071.0,1.8522,0.0884,0.3283,-0.22,2.65,-1.38,21.875,-2.5625,27.5625,-9.33,1.03,-4.63,0.4415,-0.6277,0.5212,0.3734,2.0,3.0,3.0,3.0
2025-09-28 20:32:28.739,482121.0,0.577,0.0207,0.2945,0.37,-0.08,0.22,20.0,0.6875,28.25,-8.76,-1.71,-2.94,0.4531,-0.6134,0.5345,0.3644,2.0,3.0,3.0,3.0
2025-09-28 20:32:28.789,482171.0,1.3952,0.1953,0.1156,0.68,0.26,0.52,20.375,2.5625,28.25,-8.44,-1.41,-2.61,0.4639,-0.6012,0.5466,0.353,2.0,3.0,3.0,3.0
2025-09-28 20:32:28.871,482222.0,1.2937,0.4516,-0.4036,-0.13,3.07,-1.32,20.0,4.0625,29.0625,-9.19,1.06,-4.49,0.4826,-0.5894,0.5607,0.3244,2.0,3.0,3.0,3.0
2025-09-28 20:32:28.889,482272.0,-0.1582,0.3011,-0.6141,-0.57,1.13,-0.68,19.5625,6.25,29.5,-9.52,-1.15,-3.98,0.4863,-0.5953,0.5604,0.3082,3.0,3.0,3.0,3.0
2025-09-28 20:32:28.943,482322.0,-0.3065,0.1789,-0.7396,-0.93,-0.4,2.44,19.25,8.875,28.75,-9.77,-2.94,-0.94,0.4863,-0.6081,0.5505,0.3012,3.0,3.0,3.0,3.0
2025-09-28 20:32:28.989,482372.0,0.2105,0.2302,-0.6447,-0.24,-1.48,1.09,15.5,9.6875,29.5625,-8.96,-4.34,-2.37,0.4879,-0.6208,0.5401,0.2914,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.043,482422.0,0.9697,0.2607,-0.7636,-0.01,0.98,0.24,18.875,10.0,29.25,-8.57,-2.31,-3.21,0.5013,-0.6228,0.5374,0.2684,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.090,482472.0,1.0068,1.0036,-1.1912,-3.07,2.18,0.53,18.1875,11.1875,28.875,-11.37,-1.67,-2.99,0.5143,-0.6276,0.5347,0.2359,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.145,482522.0,0.7047,0.42,-1.7344,-7.35,3.37,3.03,16.6875,13.375,30.5,-15.12,-1.28,-0.71,0.5238,-0.642,0.528,0.1866,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.195,482572.0,0.18,0.4134,-1.9657,-0.05,1.02,-3.53,15.1875,16.5625,30.5,-7.38,-4.32,-7.25,0.5349,-0.6578,0.5066,0.1565,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.240,482622.0,0.1691,1.3177,-0.6436,-0.66,-6.69,-2.33,12.5625,17.375,29.6875,-7.33,-12.51,-6.54,0.5205,-0.6848,0.4958,0.1198,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.313,482673.0,2.7522,1.9919,-0.7309,-3.02,-7.33,0.91,9.5625,18.0625,30.875,-9.09,-13.7,-3.4,0.5257,-0.6756,0.5136,0.0588,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.341,482723.0,1.1988,0.8694,-1.357,-1.46,-6.84,-0.48,4.75,17.375,28.875,-6.86,-13.93,-4.56,0.5402,-0.6678,0.512,-0.0016,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.391,482773.0,1.849,0.624,-1.9384,-3.06,-7.93,0.23,-0.75,18.5625,28.1875,-7.7,-15.7,-3.53,0.5521,-0.6708,0.4924,-0.0521,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.456,482823.0,3.5059,-0.793,-2.1828,-0.8,-3.15,-2.47,-7.1875,15.1875,26.1875,-4.63,-11.8,-5.05,0.597,-0.6547,0.45,-0.1119,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.512,482873.0,3.6794,-1.5163,-2.4456,0.2,-0.57,-3.83,-18.0625,8.375,24.375,-2.69,-9.9,-4.58,0.6593,-0.6266,0.3815,-0.1649,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.549,482923.0,4.1997,-2.1358,-2.9518,-1.74,1.92,-4.37,-37.5625,-0.1875,32.25,-3.35,-7.67,-3.12,0.7195,-0.5928,0.2911,-0.2147,3.0,3.0,3.0,3.0
2025-09-28 20:32:29.591,482973.0,-3.2081,-1.7301,-2.9932,-14.38,8.44,-0.95,-66.875,-1.5,56.25,-15.03,-1.19,0.75,0.7293,-0.5972,0.2375,-0.2346,3.0,3.0,3.0,0.0
2025-09-28 20:32:29.642,483023.0,4.0906,-4.2913,-0.7603,6.6,2.83,-10.23,-94.375,28.1875,84.5,6.09,-6.8,-8.48,0.7456,-0.6136,0.1851,-0.1825,3.0,3.0,3.0,0.0
2025-09-28 20:32:29.735,483074.0,3.6052,-1.1116,0.0676,-5.48,7.93,-10.63,-97.25,21.1875,109.1875,-5.44,-1.28,-7.28,0.791,-0.5548,0.1464,-0.2122,3.0,3.0,3.0,0.0
2025-09-28 20:32:29.741,483124.0,0.9283,0.0196,0.0971,-0.68,11.65,-8.7,-96.1875,50.0625,133.1875,-1.05,2.79,-4.51,0.8209,-0.5145,0.1477,-0.199,3.0,3.0,3.0,0.0
2025-09-28 20:32:29.792,483174.0,-2.9583,1.3919,1.4192,-1.13,13.4,-9.19,-81.6875,73.5,145.375,-1.86,4.31,-5.58,0.8045,-0.535,0.1734,-0.1912,3.0,3.0,3.0,0.0
2025-09-28 20:32:29.842,483224.0,-6.653,1.3145,3.002,-6.76,7.98,-6.19,-54.1875,68.6875,155.0625,-8.68,-1.56,-5.12,0.7309,-0.6167,0.2549,-0.143,2.0,3.0,3.0,0.0
2025-09-28 20:32:29.904,483274.0,-8.0841,-0.1407,4.684,-10.17,2.57,-6.98,-25.25,6.6875,134.375,-13.95,-6.13,-9.43,0.612,-0.7098,0.3477,-0.0282,1.0,3.0,3.0,0.0
2025-09-28 20:32:29.942,483324.0,-5.9101,-2.9758,5.9985,-13.07,-9.62,-1.75,-0.375,-37.875,55.875,-19.2,-15.68,-6.41,0.4914,-0.7505,0.418,0.1431,0.0,3.0,3.0,0.0
2025-09-28 20:32:29.992,483374.0,0.9425,-4.5728,7.2246,-6.43,-13.81,-2.41,17.75,-14.875,14.25,-14.97,-17.11,-5.93,0.4695,-0.6762,0.4711,0.3168,0.0,3.0,3.0,0.0
2025-09-28 20:32:30.042,483424.0,4.6328,-2.258,6.6355,-7.7,-4.89,-6.43,30.5,-1.0625,12.0,-17.34,-5.47,-8.13,0.5016,-0.5142,0.568,0.4016,0.0,3.0,3.0,0.0
2025-09-28 20:32:30.092,483475.0,-0.3327,0.1298,2.5133,4.24,-0.14,-2.72,36.75,-9.6875,14.0,-5.33,1.4,-4.17,0.4836,-0.412,0.6358,0.4382,0.0,3.0,3.0,0.0
2025-09-28 20:32:30.172,483525.0,-4.3939,1.7628,-1.9199,4.73,-3.87,25.85,32.25,-18.875,17.0625,-4.79,-2.41,24.06,0.4431,-0.4673,0.6104,0.4612,0.0,3.0,3.0,0.0
2025-09-28 20:32:30.193,483575.0,-7.4373,-4.0873,-2.282,4.3,-18.61,-1.97,27.75,-23.375,19.5,-5.2,-18.61,-4.38,0.3891,-0.6102,0.5008,0.4749,0.0,3.0,3.0,0.0
2025-09-28 20:32:30.258,483625.0,5.6734,1.8217,-1.2545,3.87,-4.39,-2.13,26.6875,-24.875,21.375,-5.67,-4.52,-4.36,0.4056,-0.6006,0.5027,0.4712,0.0,3.0,3.0,0.0
2025-09-28 20:32:30.293,483675.0,4.2575,0.4407,0.4265,-7.12,8.44,-5.34,28.1875,-25.1875,11.1875,-16.27,7.31,-8.67,0.4546,-0.576,0.5813,0.3517,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.343,483725.0,-1.0876,-0.3916,-0.3109,8.92,4.39,-3.47,31.1875,-18.5625,23.6875,-0.41,3.16,-6.2,0.4827,-0.5558,0.5746,0.3575,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.393,483775.0,-2.4915,1.7366,-0.8268,-5.97,-2.17,1.24,29.5,-13.5625,29.5625,-15.07,-3.3,-2.23,0.4366,-0.6002,0.5633,0.363,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.443,483825.0,-0.3676,0.0404,-0.2607,2.53,-4.65,1.95,30.1875,-14.375,27.5625,-6.45,-5.77,-1.79,0.4148,-0.626,0.5472,0.3696,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.499,483875.0,1.886,0.9348,-0.3065,-1.42,-1.85,-0.61,26.75,-16.5625,27.5625,-10.27,-3.31,-4.59,0.4249,-0.6249,0.5587,0.3416,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.543,483926.0,2.0988,-0.1374,-0.0076,0.26,2.49,-2.44,29.0625,-16.0625,28.75,-8.5,0.58,-6.4,0.4528,-0.6055,0.5787,0.3057,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.617,483976.0,0.3131,-0.2683,-0.1865,0.36,3.8,-1.77,28.0,-13.1875,33.0625,-8.44,1.64,-5.5,0.4738,-0.5922,0.5824,0.2928,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.644,484026.0,-1.4039,-0.4985,-0.5541,1.21,1.37,0.95,29.5,-9.375,33.0,-7.62,-0.8,-2.68,0.4704,-0.6043,0.5659,0.3055,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.694,484076.0,-1.9799,0.0087,-0.5269,-0.59,-2.81,1.26,28.375,-9.0625,33.6875,-9.4,-4.94,-2.47,0.4506,-0.6313,0.5406,0.3257,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.744,484126.0,-0.1571,0.0316,0.0796,-0.29,-3.53,0.66,29.875,-11.0,29.875,-9.08,-5.49,-3.21,0.4332,-0.6451,0.5308,0.3383,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.794,484176.0,1.3854,-0.1647,0.0196,-0.05,1.93,-0.99,30.6875,-12.875,29.0,-8.87,-0.19,-4.72,0.4506,-0.6316,0.5395,0.3271,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.875,484226.0,-0.2073,-0.4276,-0.0524,0.02,2.39,-0.97,30.1875,-13.25,28.6875,-8.84,0.16,-4.51,0.4629,-0.6235,0.5401,0.3244,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.894,484276.0,-1.1028,-0.3698,-0.1178,0.31,-0.77,0.47,30.5625,-11.0,29.375,-8.61,-2.88,-2.97,0.4556,-0.6312,0.5265,0.3418,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.967,484326.0,-0.036,-0.2443,0.0185,0.03,-1.77,1.27,30.875,-11.375,28.1875,-8.94,-3.78,-2.1,0.4499,-0.6357,0.5181,0.3537,0.0,3.0,3.0,3.0
2025-09-28 20:32:30.994,484377.0,0.7941,-0.2214,-0.0894,0.42,1.33,-0.44,28.25,-13.25,27.5,-8.59,-0.79,-3.66,0.4628,-0.6271,0.5201,0.3493,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.045,484427.0,-0.1396,0.0545,-0.2247,0.38,0.39,1.05,30.875,-12.5,27.75,-8.63,-1.85,-2.08,0.4697,-0.6254,0.5187,0.3453,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.095,484477.0,0.0698,0.2073,-0.5127,0.35,-0.07,0.89,30.875,-11.375,27.0,-8.58,-2.47,-2.34,0.468,-0.6343,0.5128,0.3401,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.145,484527.0,0.6207,0.3142,-0.4865,-0.01,-0.76,0.07,31.25,-10.5625,27.0,-8.84,-3.41,-3.26,0.4726,-0.6391,0.5117,0.326,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.203,484577.0,0.9512,-0.0709,-0.7527,-1.24,2.1,-0.76,32.0,-10.25,27.0,-9.94,-1.0,-4.03,0.4932,-0.6349,0.5131,0.3005,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.245,484627.0,0.3327,0.7647,-0.8029,-3.89,-1.3,3.67,31.6875,-7.25,28.0625,-12.48,-4.65,0.31,0.4957,-0.6408,0.5107,0.2878,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.295,484677.0,1.7508,1.0287,-0.8476,-1.75,1.48,3.38,32.5,-6.5625,29.6875,-10.02,-2.48,-0.06,0.5135,-0.6408,0.515,0.246,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.345,484727.0,1.9635,2.3998,-1.0941,-8.89,-0.64,1.64,32.375,-3.1875,31.25,-16.62,-5.35,-2.14,0.5241,-0.6398,0.5328,0.1791,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.446,484828.0,-0.324,1.5741,-0.9894,-5.64,-5.34,1.41,26.5625,8.5625,35.25,-12.38,-11.07,-2.8,0.5262,-0.6465,0.5454,0.088,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.496,484878.0,0.5443,-0.4047,-0.7309,-2.81,-6.26,0.96,25.375,14.0625,33.0,-9.21,-12.3,-3.36,0.5243,-0.6561,0.5386,0.0671,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.561,484928.0,1.9297,-1.1748,-1.1137,-0.86,-2.23,-1.57,22.5,18.5625,28.875,-7.16,-8.84,-5.15,0.5613,-0.6474,0.513,0.0515,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.596,484978.0,2.1031,-2.2657,-0.5858,1.1,-0.34,-2.56,19.5,22.375,17.75,-5.19,-7.48,-4.9,0.6155,-0.6249,0.4783,0.0432,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.646,485028.0,2.2144,-2.546,-0.3785,4.25,1.02,-4.01,11.5625,24.75,4.6875,-2.05,-6.43,-4.8,0.6766,-0.5941,0.4324,0.0494,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.696,485078.0,2.3562,-1.8413,-0.3185,3.63,2.14,-3.51,-1.0,21.5,-2.75,-2.57,-5.41,-2.82,0.7295,-0.5561,0.395,0.0507,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.747,485128.0,1.8631,-0.3545,1.9177,8.45,9.3,-7.22,-11.875,18.5,0.25,2.26,1.94,-5.27,0.7724,-0.5108,0.3738,0.0524,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.797,485179.0,1.0287,-2.2002,-1.6428,-1.06,8.21,-0.58,-15.5,20.375,7.25,-7.4,1.1,1.72,0.7824,-0.4983,0.366,0.0743,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.849,485229.0,-0.4723,-1.6166,-0.3338,8.17,10.89,-6.94,-14.5,23.75,12.25,2.06,3.83,-3.93,0.8032,-0.4849,0.3342,0.0893,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.913,485279.0,-1.0407,1.6166,1.0199,4.95,6.63,-4.02,-11.375,28.1875,14.75,-1.17,-0.58,-1.48,0.7875,-0.5091,0.3334,0.0975,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.947,485329.0,-1.0625,1.7726,0.9425,-0.69,7.59,-2.8,-11.5,29.0,19.25,-7.43,0.65,-1.23,0.7546,-0.5216,0.3847,0.103,0.0,3.0,3.0,3.0
2025-09-28 20:32:31.997,485379.0,-2.8536,0.6065,1.8402,3.66,8.17,-5.41,-13.75,27.375,19.375,-3.58,1.59,-4.8,0.716,-0.5468,0.4121,0.1363,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.061,485429.0,-4.8673,1.4879,2.8362,1.03,2.1,-3.84,-13.0625,26.1875,18.25,-6.93,-3.5,-4.87,0.6368,-0.5938,0.447,0.2051,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.097,485479.0,-4.1059,0.2629,2.5307,-7.37,-4.26,-0.09,-7.875,21.25,17.375,-15.89,-8.35,-2.73,0.5362,-0.6377,0.4771,0.2797,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.197,485579.0,2.1435,-1.2555,3.6968,-3.53,-2.29,-2.61,7.6875,5.75,18.6875,-13.18,-3.26,-4.01,0.5038,-0.5382,0.5308,0.418,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.272,485630.0,-0.6981,-1.0428,2.4009,-3.55,1.4,-4.74,11.5,0.25,18.6875,-13.3,1.83,-5.71,0.4932,-0.4785,0.5663,0.4552,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.298,485680.0,-4.504,0.636,-0.5051,2.93,-7.75,-13.92,12.875,-4.0,19.75,-6.8,-6.87,-14.62,0.4519,-0.502,0.5328,0.5099,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.348,485730.0,0.7298,0.2989,-0.7429,-1.05,-7.54,23.45,13.0,-7.0625,15.875,-10.78,-7.54,22.23,0.4229,-0.5768,0.4792,0.5088,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.398,485780.0,0.8956,-1.8915,-0.1822,9.69,-1.81,-6.87,14.75,-11.375,15.1875,0.09,-2.55,-8.72,0.4541,-0.5814,0.506,0.4469,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.448,485830.0,1.8708,2.4915,-0.9076,-2.91,0.28,-1.66,15.75,-8.6875,18.75,-12.43,-0.48,-3.88,0.4562,-0.5768,0.53,0.4224,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.503,485880.0,0.8312,-0.5869,-0.1527,0.56,5.48,-2.53,16.875,-7.75,19.25,-8.82,4.32,-5.11,0.4745,-0.5679,0.5561,0.3783,0.0,3.0,3.0,3.0
2025-09-28 20:32:32.548,485930.0,-1.958,1.0396,-0.5716,0.76,-0.6,-0.39,15.0625,-4.5,23.25,-8.59,-1.82,-3.06,0.4618,-0.5883,0.5386,0.3882,0.0,3.0,3.0,3.0
