DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:00:27.374,484814.0,-0.9414,-0.1407,0.0982,-0.16,-0.81,-0.86,16.25,21.5625,44.1875,-9.88,-0.89,-2.15,0.5525,-0.415,0.6274,0.3591,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.418,484864.0,0.4843,-0.4396,0.0873,0.27,-1.57,0.86,17.0,19.0,44.1875,-9.45,-1.56,-0.34,0.5515,-0.4138,0.6252,0.3658,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.491,484914.0,0.7221,0.2334,0.1025,1.21,1.75,-0.6,17.75,18.25,44.875,-8.52,1.74,-1.77,0.5612,-0.4003,0.6318,0.3546,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.518,484965.0,0.3556,0.4254,-0.3294,-0.28,0.96,0.66,18.875,18.5625,42.5625,-9.99,0.86,-0.71,0.5592,-0.4005,0.6401,0.3422,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.569,485015.0,0.3949,0.9032,-0.3589,-1.76,0.94,0.71,17.375,20.5,43.75,-11.41,0.63,-1.0,0.5547,-0.4071,0.6498,0.3229,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.619,485065.0,1.2305,0.5094,0.0785,-1.75,-0.88,4.08,16.25,22.0,42.5625,-11.32,-1.36,1.99,0.55,-0.4089,0.6626,0.3021,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.669,485115.0,1.4639,-0.4429,0.6741,-0.69,3.52,1.82,14.375,22.6875,43.25,-10.28,3.04,-0.15,0.5656,-0.3793,0.6761,0.2815,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.727,485165.0,-0.9119,-1.1421,0.5531,-0.69,0.44,0.89,12.5625,26.0625,42.1875,-10.37,0.24,-0.65,0.577,-0.3621,0.6694,0.2966,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.769,485215.0,-0.552,-1.6864,0.7363,0.04,-0.56,-0.56,15.5,27.0625,40.1875,-9.72,-0.41,-1.42,0.5885,-0.3525,0.6475,0.332,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.819,485265.0,-0.2051,-1.6242,0.8672,0.25,-2.46,-2.54,18.1875,24.5625,40.6875,-9.54,-1.9,-2.58,0.6047,-0.3298,0.6271,0.3637,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.870,485316.0,1.1083,-0.9839,0.5312,2.15,-2.37,-3.87,22.5625,22.6875,38.25,-7.6,-1.49,-3.32,0.6224,-0.2999,0.618,0.3751,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.919,485366.0,1.0788,0.1178,0.2193,1.25,-1.06,-4.07,25.875,22.0,37.0625,-8.47,0.02,-3.46,0.6314,-0.2734,0.6279,0.3638,3.0,0.0,3.0,3.0
2025-09-28 20:00:27.970,485416.0,0.7232,0.3643,-0.1254,-0.58,-2.2,2.56,27.0,22.6875,33.5625,-10.31,-1.08,2.96,0.6319,-0.2624,0.6409,0.348,3.0,0.0,3.0,3.0
2025-09-28 20:00:28.019,485466.0,0.7909,-0.0436,0.1287,0.37,1.49,-2.93,27.875,24.5625,33.1875,-9.35,2.67,-2.64,0.6346,-0.2487,0.6505,0.3351,3.0,0.0,3.0,3.0
2025-09-28 20:00:28.085,485516.0,0.9708,0.5956,0.0873,-1.7,2.43,-2.15,26.375,25.0,32.375,-11.45,3.5,-2.0,0.6357,-0.2466,0.657,0.3216,3.0,0.0,3.0,3.0
2025-09-28 20:00:28.120,485566.0,-1.0919,0.2913,-0.1014,1.53,2.72,-1.24,26.5,27.1875,32.6875,-8.22,3.74,-1.21,0.6343,-0.2467,0.6614,0.3151,3.0,0.0,3.0,3.0
2025-09-28 20:00:28.171,485616.0,-0.5051,0.3305,-0.2596,-1.75,-8.88,2.52,23.1875,27.875,31.5625,-11.51,-7.92,2.37,0.6155,-0.2793,0.6556,0.3366,3.0,0.0,3.0,3.0
2025-09-28 20:00:28.220,485666.0,2.9485,-0.0469,-0.1124,-0.06,4.85,-2.49,24.6875,26.375,34.25,-9.82,5.7,-2.75,0.6322,-0.2455,0.673,0.295,3.0,0.0,3.0,3.0
2025-09-28 20:00:28.277,485717.0,0.1178,-0.0894,-0.1909,-0.5,-1.3,-0.6,24.6875,26.375,33.875,-10.27,-0.56,-0.86,0.6411,-0.2325,0.6777,0.2753,3.0,0.0,3.0,3.0
