DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:03:47.217,684661.0,-0.0436,0.0436,0.0556,0.08,0.52,-0.19,-21.1875,-49.5,-4.875,8.55,2.35,-4.78,0.155,0.8528,-0.0793,0.4923,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.267,684711.0,-0.2487,0.1734,0.1789,0.13,-0.28,-0.27,-21.1875,-50.1875,-4.375,8.65,1.51,-4.78,0.1573,0.8503,-0.0851,0.495,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.317,684761.0,-0.1331,0.3927,-0.1538,-0.06,-0.9,-0.27,-22.75,-49.5,-4.875,8.52,0.92,-4.64,0.1617,0.8459,-0.0868,0.5008,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.404,684812.0,0.1407,0.4374,-0.3218,-0.33,0.07,-0.16,-22.0,-50.5625,-5.5625,8.29,2.03,-4.37,0.1656,0.8418,-0.0778,0.5078,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.418,684862.0,-0.0305,0.3033,-0.1898,-0.2,1.21,0.57,-21.25,-49.875,-5.1875,8.48,3.28,-3.48,0.1689,0.838,-0.0703,0.5142,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.481,684912.0,-0.2334,-0.0862,0.1494,0.12,-0.65,-0.22,-20.875,-49.875,-6.375,8.82,1.38,-4.24,0.1701,0.8363,-0.0745,0.5158,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.518,684962.0,-0.1265,0.1669,-0.7494,0.75,-2.84,0.31,-20.0625,-51.0,-5.5625,9.44,-0.65,-3.66,0.1772,0.8356,-0.0707,0.5152,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.568,685012.0,-1.1759,-0.8825,-2.402,4.93,-0.76,-1.36,-19.6875,-49.5,-6.375,13.32,2.35,-5.36,0.2107,0.8383,-0.0354,0.5017,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.618,685062.0,-2.6747,0.492,-1.9624,-1.39,-4.93,-6.78,-18.5625,-49.875,-8.375,6.57,-0.53,-10.43,0.2817,0.8281,-0.0181,0.4844,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.669,685112.0,-4.8029,-0.8029,4.3448,5.14,-28.26,-7.59,-13.75,-51.375,-10.6875,13.47,-23.82,-10.23,0.3713,0.7848,-0.1368,0.477,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.723,685163.0,2.8711,-1.8555,2.3813,10.9,-1.66,-8.02,-9.6875,-49.0625,-18.875,19.39,1.74,-11.56,0.3246,0.8033,-0.1872,0.4628,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.769,685213.0,2.2689,-1.7551,4.9742,6.51,-2.42,-3.29,-17.5,-41.25,-26.75,15.35,-1.39,-7.41,0.2228,0.8023,-0.2578,0.4902,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.838,685263.0,4.6109,-0.577,3.8386,8.32,5.41,-4.33,-24.875,-40.0625,-20.1875,16.81,3.86,-8.98,0.0933,0.8026,-0.3049,0.5042,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.869,685313.0,4.6251,0.7538,2.7729,0.56,9.39,-2.23,-34.6875,-34.875,-13.1875,8.7,5.47,-6.05,-0.0383,0.7745,-0.3086,0.5508,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.941,685363.0,5.861,0.709,1.4137,-1.15,10.47,-0.47,-40.6875,-30.6875,-6.5625,6.69,5.11,-2.89,-0.1556,0.7437,-0.2655,0.5935,3.0,3.0,3.0,3.0
2025-09-28 20:03:47.970,685413.0,3.4601,1.9973,1.1956,-5.61,8.56,-1.83,-44.375,-27.25,-2.6875,1.97,2.36,-2.37,-0.2458,0.6898,-0.2278,0.6418,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.026,685464.0,2.1708,-0.9861,1.5752,-3.42,7.53,-3.7,-45.5625,-23.6875,2.375,3.71,0.84,-3.13,-0.3082,0.6523,-0.2128,0.6589,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.090,685514.0,0.072,0.396,0.9567,5.68,10.39,-9.33,-46.6875,-21.0,1.875,12.53,3.38,-8.82,-0.3455,0.6577,-0.2035,0.6378,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.120,685564.0,-1.1094,1.0505,0.072,-1.13,6.64,1.1,-48.75,-17.0,5.6875,5.46,-0.56,1.86,-0.3469,0.6408,-0.225,0.6469,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.191,685614.0,-0.1036,-0.8061,0.625,-1.28,-3.3,0.82,-50.5625,-14.375,4.5,5.16,-10.67,1.15,-0.3341,0.6483,-0.2507,0.6366,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.220,685664.0,1.2915,-0.7843,-2.0693,1.2,6.96,-0.14,-51.0,-14.0,0.5,7.97,-0.11,0.32,-0.3469,0.6575,-0.2091,0.6353,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.270,685714.0,-2.1566,-0.3229,0.3589,-2.49,6.84,-1.56,-49.0625,-12.75,2.5,4.61,0.08,-1.41,-0.3176,0.6704,-0.2063,0.638,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.320,685764.0,-2.8405,-1.1399,-1.249,2.66,0.7,-2.24,-47.6875,-17.5625,6.75,9.73,-5.99,-3.38,-0.2759,0.707,-0.2419,0.6046,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.370,685814.0,0.456,-0.4429,-4.8989,2.88,3.28,-2.79,-47.25,-17.75,4.75,10.95,-2.03,-4.44,-0.213,0.7411,-0.1863,0.6088,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.426,685865.0,-1.4083,-1.5501,-3.4219,0.74,7.09,-4.62,-46.5625,-20.75,4.75,9.74,3.77,-6.67,-0.1431,0.7716,-0.0961,0.6124,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.471,685915.0,-5.0865,-1.7268,-2.1424,3.04,0.81,-1.22,-39.0625,-30.5,6.75,12.09,-1.05,-4.52,-0.0429,0.8104,-0.1052,0.5747,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.554,685965.0,-2.8394,-0.2062,-2.8547,3.05,4.09,0.32,-34.0,-37.1875,6.375,12.0,4.04,-3.68,0.0687,0.8319,-0.1108,0.5394,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.634,686015.0,-4.1822,0.3,-2.4893,-6.2,2.43,0.14,-28.75,-41.5625,-0.1875,2.73,4.11,-3.51,0.1691,0.8226,-0.1002,0.5336,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.637,686065.0,-2.1631,-3.2856,0.0196,-6.64,3.27,-4.38,-23.1875,-44.25,-6.5,1.82,6.32,-8.27,0.2567,0.8273,-0.1169,0.4858,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.671,686115.0,0.9021,0.7429,0.5367,2.15,-19.14,-0.69,-20.1875,-44.25,-12.6875,10.71,-18.26,-5.41,0.2084,0.8171,-0.2701,0.4648,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.721,686165.0,4.7517,-0.5585,-2.3616,-4.92,7.54,-24.94,-24.1875,-39.0,-17.0625,3.82,8.75,-29.22,0.1722,0.8318,-0.1617,0.5024,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.806,686216.0,1.7333,4.4975,-0.6065,-13.74,-5.06,4.16,-27.1875,-37.0625,-14.0,-5.19,-1.93,0.52,0.2446,0.8239,-0.0831,0.5046,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.822,686266.0,1.0428,-2.3813,-2.1206,-3.13,8.22,-1.36,-18.5625,-43.0,-11.0,5.56,10.92,-5.0,0.2033,0.826,-0.058,0.5226,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.901,686316.0,-1.7333,-1.3744,0.5912,4.73,-4.03,0.48,-14.5,-44.875,-11.6875,12.8,-0.3,-3.65,0.2646,0.8405,-0.069,0.4678,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.922,686366.0,0.913,0.9785,-1.8195,-0.38,-2.11,1.46,-11.1875,-46.375,-9.6875,7.8,1.74,-2.3,0.2719,0.8298,-0.0597,0.4838,3.0,3.0,3.0,3.0
2025-09-28 20:03:48.972,686416.0,-0.0774,0.6709,-0.4647,-2.59,2.0,1.04,-14.1875,-44.5625,-14.0,5.57,6.16,-2.41,0.2744,0.8221,-0.027,0.4981,3.0,3.0,3.0,3.0
2025-09-28 20:03:49.022,686466.0,-0.8912,-0.8432,-0.7123,1.33,-0.36,-0.99,-8.5625,-45.875,-12.875,9.3,4.15,-4.49,0.2966,0.8231,-0.0286,0.4835,3.0,3.0,3.0,3.0
2025-09-28 20:03:49.072,686516.0,-0.096,0.9883,-0.5291,-0.98,-1.21,1.03,-7.0625,-45.6875,-14.875,6.98,3.49,-2.2,0.308,0.8153,-0.0223,0.4898,3.0,3.0,3.0,3.0
