DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 20:01:04.668,522112.0,-0.4003,-0.084,0.2869,0.28,-2.01,0.15,14.1875,22.25,44.875,-9.35,-1.51,-1.59,-0.5321,0.3945,-0.6588,-0.3569,3.0,0.0,3.0,3.0
2025-09-28 20:01:04.716,522162.0,0.7254,-0.3567,0.2138,-0.22,0.61,-0.61,15.0,20.5,44.5625,-9.87,1.2,-2.29,-0.5366,0.3828,-0.6627,-0.3555,3.0,0.0,3.0,3.0
2025-09-28 20:01:04.766,522212.0,-0.0676,-0.4091,0.3294,0.36,0.26,-0.74,16.5,18.5625,44.875,-9.3,0.98,-2.23,-0.5435,0.3699,-0.6628,-0.3585,3.0,0.0,3.0,3.0
2025-09-28 20:01:04.819,522262.0,0.5094,-0.2923,0.0567,0.52,-0.96,0.62,17.1875,20.75,44.5625,-9.16,-0.21,-0.7,-0.5497,0.3636,-0.6599,-0.3607,3.0,0.0,3.0,3.0
2025-09-28 20:01:04.866,522312.0,1.2479,0.5912,-0.6676,3.16,1.79,2.53,18.6875,19.6875,43.6875,-6.52,2.34,1.1,-0.5583,0.3561,-0.6678,-0.34,3.0,0.0,3.0,3.0
2025-09-28 20:01:04.939,522362.0,0.2967,3.6423,-2.066,-3.52,3.36,0.52,19.0625,21.5,42.5625,-13.01,3.14,-1.95,-0.5405,0.3861,-0.6909,-0.2855,3.0,0.0,3.0,3.0
2025-09-28 20:01:04.988,522412.0,-1.7693,2.354,-3.8943,-2.03,-2.74,-17.58,16.5,24.5,43.75,-10.8,-4.0,-21.78,-0.4846,0.4621,-0.7077,-0.2254,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.016,522462.0,-0.2247,5.0026,-3.1176,1.49,-8.96,-7.78,5.6875,26.0,44.6875,-6.03,-11.25,-13.63,-0.4167,0.5607,-0.6957,-0.1675,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.096,522513.0,1.0123,5.3745,-4.2455,-4.1,-1.69,-5.79,-4.6875,22.25,46.5625,-9.29,-5.53,-13.18,-0.3499,0.6287,-0.6937,-0.0345,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.117,522563.0,0.2018,5.5283,-4.5477,-0.84,-1.7,0.51,-19.875,19.6875,43.75,-3.09,-6.47,-7.75,-0.2657,0.6944,-0.6628,0.0886,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.174,522613.0,2.3169,6.5308,-4.1408,-8.39,-1.7,4.34,-34.375,15.5625,34.75,-7.02,-7.06,-3.74,-0.1721,0.7317,-0.6143,0.2403,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.217,522663.0,-9.5993,-1.1912,-0.0807,-3.54,23.01,5.75,-45.5625,5.5625,23.25,-0.24,17.99,-1.99,-0.0991,0.7365,-0.5937,0.3085,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.301,522713.0,2.4009,-0.1985,-1.6701,-6.68,-5.73,14.75,-52.25,-1.375,8.5,-2.98,-8.7,6.17,-0.001,0.7574,-0.6033,0.2497,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.317,522763.0,7.3227,0.6643,2.0279,-2.9,-2.24,4.57,-52.6875,-5.0,5.75,0.46,-7.82,-2.75,-0.1255,0.7348,-0.5777,0.3326,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.367,522813.0,0.1069,-5.9112,5.2524,-12.6,18.42,-4.11,-51.5625,-7.1875,5.875,-11.38,11.04,-10.45,-0.2802,0.7079,-0.5678,0.3129,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.418,522863.0,-7.9031,-4.3437,4.3906,-9.68,-1.67,0.86,-52.0,-1.6875,11.75,-11.8,-6.99,-7.1,-0.2874,0.7062,-0.6383,0.1065,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.468,522914.0,-1.1508,-9.0594,2.7936,-15.7,-16.98,0.77,-46.25,10.0625,24.875,-21.08,-19.53,-7.01,-0.3,0.6805,-0.6589,-0.1129,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.532,522964.0,5.8534,-7.4438,4.9764,-6.5,-3.96,-8.93,-37.0625,7.875,37.375,-15.03,-6.22,-13.2,-0.4839,0.5351,-0.6569,-0.2189,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.635,523014.0,-0.6305,-6.5134,6.0356,-6.67,11.56,-21.83,-16.25,10.5,46.375,-16.4,11.37,-22.99,-0.5856,0.3652,-0.6525,-0.3129,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.637,523064.0,-6.6999,-4.9927,-0.9403,-1.78,-7.89,-14.52,4.75,24.5625,43.375,-11.44,-7.56,-12.84,-0.6052,0.376,-0.5224,-0.4684,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.668,523114.0,0.6981,-0.7363,1.3843,15.28,-6.89,-7.64,23.875,19.0625,41.0625,5.97,-6.73,-4.56,-0.6162,0.3729,-0.4514,-0.5267,3.0,0.0,3.0,3.0
2025-09-28 20:01:05.723,523164.0,4.9884,6.2985,2.0649,-17.9,7.17,-23.29,32.375,8.75,38.375,-27.62,7.79,-22.16,-0.5985,0.3627,-0.5575,-0.4466,3.0,0.0,3.0,3.0
