DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 19:59:16.497,413934.0,2.9103,2.1075,0.8563,-1.44,1.22,0.91,-1.1875,-11.0,48.6875,-8.76,5.72,-3.81,0.1452,-0.5743,0.6412,0.4877,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.537,413984.0,-0.0709,2.5024,0.552,2.38,1.91,0.63,-7.1875,-20.25,44.75,-4.24,6.17,-5.19,0.1285,-0.5822,0.6772,0.431,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.587,414034.0,-0.3622,2.2253,1.6341,-0.15,-1.7,3.14,-13.0625,-13.5625,46.0,-5.72,3.07,-3.36,0.0631,-0.5927,0.693,0.4057,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.662,414085.0,0.4167,3.0936,2.8122,-4.24,-1.76,-0.27,-20.1875,-14.0,43.1875,-8.45,3.51,-7.38,0.0026,-0.5735,0.7303,0.371,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.688,414135.0,0.1963,3.0347,3.2627,-0.65,-9.21,-0.08,-26.0625,-11.0,41.0,-2.97,-3.44,-7.66,-0.0756,-0.5378,0.7728,0.3284,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.738,414185.0,3.4525,2.1348,0.8585,3.52,5.82,-0.02,-31.6875,-6.875,37.5,2.81,10.86,-8.41,-0.1149,-0.5273,0.8058,0.2436,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.788,414235.0,-0.2083,0.9948,0.216,3.82,5.18,2.17,-38.0,-1.375,30.875,3.77,9.52,-6.62,-0.1225,-0.535,0.8138,0.1909,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.851,414285.0,-0.2858,0.1036,-0.0327,3.02,-0.12,-3.12,-40.5625,4.0625,27.0,3.21,4.38,-11.83,-0.138,-0.5327,0.8125,0.1926,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.888,414335.0,-0.8039,0.2607,-1.5348,-1.4,-5.63,-4.45,-43.25,4.5,25.875,-1.34,-0.84,-13.01,-0.1447,-0.5466,0.7986,0.2063,3.0,0.0,3.0,3.0
2025-09-28 19:59:16.938,414385.0,-0.7756,0.4178,-3.1274,-18.06,-4.29,-3.94,-42.375,4.5,25.0625,-18.42,0.69,-12.38,-0.1473,-0.5917,0.7615,0.22,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.005,414435.0,0.6392,-2.5776,-3.4798,-15.97,-7.45,-2.01,-42.0,0.0,25.5,-17.61,-2.33,-10.21,-0.1194,-0.6462,0.7074,0.2603,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.038,414485.0,7.8998,-3.183,2.4031,-1.09,25.66,1.33,-42.0,-7.75,24.6875,-3.94,27.84,-7.78,0.0409,-0.6284,0.7553,0.1816,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.091,414536.0,-5.7018,-3.9237,0.8738,-6.59,-2.94,-1.44,-39.5,-8.0625,30.875,-10.64,-0.22,-9.95,0.0839,-0.5827,0.7709,0.2434,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.139,414586.0,-6.4534,-7.3337,-0.6392,14.87,-15.82,2.7,-33.5,5.1875,35.5625,8.68,-10.5,-2.74,0.095,-0.5393,0.6979,0.4616,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.192,414636.0,-2.9027,-3.8986,-2.6682,20.28,-12.04,0.28,-25.0,-4.0625,43.375,12.42,-6.72,-2.18,0.1691,-0.507,0.6073,0.5878,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.239,414686.0,11.5421,10.3902,3.4645,-12.4,35.56,-13.92,-7.5,-17.375,46.1875,-20.31,39.35,-18.3,0.2574,-0.4882,0.6967,0.4583,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.289,414736.0,-15.3076,2.5875,1.6439,-6.02,-27.01,-12.57,3.0625,-20.6875,46.25,-12.44,-20.61,-16.32,0.0604,-0.5211,0.6476,0.5526,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.339,414786.0,5.909,0.9305,-0.132,12.29,-5.73,-8.91,-12.0625,-5.375,47.0,6.7,1.45,-12.54,-0.0339,-0.5467,0.6213,0.5602,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.389,414836.0,-4.2575,0.8858,-2.4064,-2.93,-5.09,3.14,-19.875,-29.875,35.5625,-8.7,0.64,-2.33,0.0211,-0.5972,0.6502,0.4692,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.442,414886.0,0.48,0.8858,1.5752,-1.95,-3.37,0.3,-21.6875,-19.875,40.25,-7.14,2.9,-5.16,-0.0353,-0.6114,0.6362,0.4693,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.490,414937.0,1.7977,1.3723,0.8367,6.44,2.53,1.87,-24.5625,-24.375,35.5625,1.75,8.66,-4.17,-0.0416,-0.612,0.6589,0.4354,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.578,414987.0,1.0516,2.6093,0.6567,-5.95,0.74,-0.45,-28.0625,-22.5,33.25,-9.4,6.46,-7.63,-0.0744,-0.6323,0.6829,0.3582,3.0,0.0,3.0,3.0
2025-09-28 19:59:17.590,415037.0,0.6458,1.9297,0.6327,1.83,-1.99,1.63,-32.5,-18.0,33.75,-0.74,3.62,-5.97,-0.103,-0.6373,0.6942,0.3185,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.678,415087.0,1.0788,1.6635,0.7418,3.1,1.04,-0.73,-36.5625,-15.875,29.5,1.38,6.34,-8.79,-0.1224,-0.6415,0.7068,0.2718,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.690,415137.0,0.1614,1.2501,0.5181,1.57,0.96,-1.26,-41.0,-12.875,27.875,0.62,6.1,-9.56,-0.1451,-0.6429,0.714,0.2363,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.740,415187.0,-0.5334,0.7298,-0.4123,3.01,-0.51,-2.35,-42.875,-10.5625,23.1875,2.37,4.73,-10.61,-0.1628,-0.6459,0.7097,0.2294,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.797,415237.0,-0.5007,0.0567,-1.3003,-1.2,1.0,-0.44,-43.25,-9.5,22.0625,-1.89,6.42,-8.58,-0.1746,-0.665,0.6876,0.2333,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.855,415287.0,-1.081,-1.381,-1.333,-5.08,1.24,-1.42,-44.0,-10.5625,20.875,-6.44,6.92,-9.3,-0.1673,-0.6797,0.6631,0.2651,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.908,415338.0,-0.5803,-2.3355,-1.2992,-12.68,-1.82,-2.69,-43.25,-14.375,19.75,-15.1,4.02,-10.18,-0.1412,-0.6837,0.6436,0.3137,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.941,415388.0,-0.7898,-1.2861,-1.5828,-9.42,-6.71,1.34,-40.5625,-18.75,22.5,-13.0,-0.82,-5.63,-0.1088,-0.687,0.6195,0.364,2.0,0.0,3.0,3.0
2025-09-28 19:59:17.991,415438.0,2.7194,0.1265,1.7726,-5.16,-3.92,4.69,-36.5625,-21.75,26.75,-9.04,1.65,-2.38,-0.0844,-0.6882,0.6223,0.3634,2.0,0.0,3.0,3.0
2025-09-28 19:59:18.041,415488.0,5.2338,1.7922,1.8042,-16.6,-8.83,5.68,-33.5625,-25.875,29.0625,-19.72,-4.28,-2.42,-0.0571,-0.6838,0.6677,0.2885,2.0,0.0,3.0,3.0
2025-09-28 19:59:18.091,415538.0,2.4424,-2.3824,1.6253,-3.45,11.4,1.52,-34.0,-20.6875,31.0,-6.41,14.18,-7.39,0.0186,-0.6498,0.7299,0.2111,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.155,415588.0,-4.6262,-5.981,-0.2443,10.21,-0.22,2.35,-36.875,-10.5625,32.1875,5.58,3.47,-5.45,0.0605,-0.6154,0.7208,0.313,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.191,415638.0,-4.5291,-6.7446,-3.0892,28.82,-10.93,0.83,-31.75,-3.5625,37.25,21.57,-6.3,-3.88,0.1297,-0.5835,0.6324,0.4927,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.294,415688.0,19.5433,7.6227,-1.1039,10.13,37.19,-31.13,-19.875,-11.0,43.0625,1.74,39.35,-35.71,0.2775,-0.5844,0.626,0.4354,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.297,415739.0,-15.2465,1.3003,1.7093,-2.62,-6.12,8.92,-2.75,-20.6875,41.6875,-9.31,-2.05,3.03,0.0922,-0.6522,0.6124,0.4371,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.350,415789.0,1.5479,-2.0628,3.0696,-5.34,-34.57,6.87,-10.75,-1.5,44.375,-10.66,-28.02,1.87,-0.0711,-0.6388,0.5889,0.49,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.421,415839.0,3.0336,5.9996,0.8127,2.37,14.78,-6.64,-17.5,-26.25,34.75,-2.04,20.38,-13.37,-0.0311,-0.6243,0.6733,0.3948,3.0,0.0,3.0,3.0
2025-09-28 19:59:18.450,415889.0,3.7186,0.6283,3.9924,6.72,-1.99,-8.9,-21.6875,-24.0625,36.25,4.5,3.84,-16.46,-0.109,-0.5992,0.7255,0.3205,3.0,0.0,3.0,3.0
