DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 19:58:08.263,345711.0,-0.2563,-0.1767,-0.5465,1.14,4.05,-3.88,29.875,-15.1875,34.5625,-8.28,1.99,-2.15,-0.4473,0.5893,-0.2537,-0.6232,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.340,345761.0,1.1268,0.3796,0.3087,0.68,8.23,-5.3,31.6875,-16.1875,33.0625,-8.75,6.24,-3.54,-0.4598,0.5808,-0.2693,-0.6154,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.363,345811.0,-0.6992,-1.381,-0.1058,2.32,-10.44,-1.95,32.1875,-15.75,33.0625,-7.12,-12.45,-0.23,-0.4465,0.5886,-0.2571,-0.6229,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.413,345861.0,-3.3565,-0.0753,0.6229,-0.49,-1.76,-1.16,31.0625,-15.1875,33.875,-10.03,-3.42,0.37,-0.4248,0.5925,-0.2654,-0.631,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.480,345911.0,1.249,0.0284,0.3622,-2.65,-2.45,-0.29,32.1875,-16.5625,33.875,-12.22,-3.99,1.18,-0.3982,0.6016,-0.2495,-0.646,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.530,345961.0,1.2763,0.2793,0.2913,-1.56,2.61,0.16,30.75,-20.6875,30.375,-11.15,1.33,1.72,-0.4144,0.5858,-0.2777,-0.6388,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.583,346011.0,-0.1876,0.1734,0.2247,-0.42,1.44,-0.82,30.75,-21.0625,31.875,-10.05,0.33,0.69,-0.4163,0.5809,-0.2917,-0.6357,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.614,346062.0,0.7669,0.1691,0.1254,0.22,-0.45,0.04,30.0,-18.0625,34.1875,-9.42,-1.48,1.47,-0.4138,0.582,-0.2971,-0.634,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.686,346112.0,-0.1669,0.2356,0.1789,0.27,0.36,-0.17,29.6875,-19.1875,34.1875,-9.39,-0.57,1.17,-0.4158,0.58,-0.3072,-0.6295,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.714,346162.0,0.7756,0.2956,0.1582,-0.17,0.89,-0.41,28.875,-18.5,34.6875,-9.86,0.06,0.82,-0.4149,0.5801,-0.3171,-0.6251,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.764,346212.0,-0.228,0.2389,0.1745,-0.16,1.61,-0.31,28.5,-18.0625,34.1875,-9.87,0.86,0.81,-0.4147,0.5798,-0.3263,-0.6208,3.0,0.0,1.0,3.0
2025-09-28 19:58:08.814,346262.0,-0.2651,0.3371,0.1822,0.33,-0.8,0.23,27.375,-17.6875,34.6875,-9.39,-1.47,1.21,-0.4042,0.5861,-0.3263,-0.6218,3.0,0.0,1.0,3.0
