DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 19:59:31.928,429375.0,-0.6327,0.2651,0.2476,0.33,-1.23,0.28,22.6875,-7.0,44.0,-9.46,-1.27,0.17,-0.4637,0.5365,-0.4662,-0.5289,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.040,429425.0,0.4036,0.4691,0.4429,0.25,-1.01,0.91,22.6875,-5.5,44.25,-9.54,-0.87,0.61,-0.4533,0.5381,-0.4747,-0.5287,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.042,429475.0,0.2825,0.7472,0.4734,-0.2,1.51,-0.09,22.25,-7.0,45.875,-9.99,1.88,-0.71,-0.4453,0.5356,-0.4947,-0.5198,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.090,429525.0,-0.3512,0.4363,0.348,-0.37,-0.28,-0.09,21.1875,-5.875,44.25,-10.12,0.27,-0.97,-0.4315,0.5394,-0.5038,-0.5187,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.128,429575.0,0.2662,0.2193,-0.024,-1.07,0.13,0.06,19.6875,-6.1875,45.875,-10.8,0.76,-0.94,-0.4255,0.5414,-0.5084,-0.5171,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.178,429625.0,-0.4767,0.2214,-0.5716,-2.42,-0.48,-1.16,17.5,-6.1875,46.25,-12.15,-0.03,-2.26,-0.4282,0.5484,-0.5053,-0.5104,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.229,429676.0,-1.2632,1.0417,-0.1396,-1.76,-4.03,5.04,18.25,-7.375,47.0,-11.46,-3.68,3.68,-0.4113,0.5707,-0.4935,-0.5115,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.283,429726.0,-0.4461,2.5667,1.0265,1.15,1.06,6.06,17.5,-7.375,46.25,-8.37,1.75,3.84,-0.372,0.5921,-0.5123,-0.4985,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.329,429776.0,-2.0246,3.8801,1.5468,-7.2,-2.75,0.89,14.1875,-9.5625,47.0625,-16.12,-1.21,-2.89,-0.2907,0.6241,-0.5509,-0.4717,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.386,429826.0,-2.4511,4.1026,0.9218,-0.56,-2.73,-1.04,7.0625,-12.1875,47.5,-8.55,-0.06,-6.06,-0.183,0.6642,-0.5607,-0.4592,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.444,429876.0,-7.4198,0.9261,-2.6867,-3.68,-17.74,16.24,-2.5,-17.0,46.375,-11.07,-14.29,10.8,-0.0824,0.7211,-0.5074,-0.4645,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.479,429926.0,0.5967,-1.6504,-4.9556,-7.25,-29.33,20.04,-12.875,-22.875,42.5,-15.4,-26.14,15.61,-0.0521,0.7586,-0.3882,-0.5206,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.529,429976.0,6.4414,-6.6693,-5.5338,-30.0,0.48,-4.18,-11.0,-37.5,31.1875,-39.29,0.03,-7.3,-0.2632,0.7416,-0.3301,-0.5214,3.0,0.0,3.0,3.0
2025-09-28 19:59:32.579,430026.0,0.8945,-7.2693,-4.8149,-19.99,4.71,-12.34,1.0625,-35.25,36.75,-29.33,1.77,-11.75,-0.4387,0.6458,-0.2298,-0.5811,3.0,0.0,3.0,3.0
