DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-09-28 19:58:49.851,387270.0,-0.4167,-1.933,-5.0855,-9.34,-5.27,12.36,-45.75,-23.75,2.75,-9.08,-0.44,3.83,0.2379,0.884,-0.392,-0.0911,3.0,0.0,3.0,3.0
2025-09-28 19:58:49.916,387320.0,2.4784,-6.6944,-4.7048,-24.54,-7.34,11.75,-39.5,-33.5,5.0625,-27.17,-3.17,3.27,0.1638,0.9141,-0.3112,-0.202,3.0,0.0,3.0,3.0
2025-09-28 19:58:49.928,387370.0,6.629,-10.3378,-1.297,-27.58,-2.02,-0.72,-29.6875,-42.375,7.75,-34.11,-0.47,-7.87,-0.0361,0.8792,-0.3024,-0.3664,3.0,0.0,3.0,3.0
2025-09-28 19:58:49.973,387420.0,5.3756,-10.8047,0.0665,-24.15,-7.23,-14.3,-15.375,-45.25,21.0625,-33.49,-7.23,-17.28,-0.2386,0.7387,-0.3264,-0.5392,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.038,387470.0,14.5975,-7.6936,-0.3196,1.1,-18.09,-33.59,1.375,-36.0625,37.0625,-8.58,-18.58,-32.12,-0.4719,0.53,-0.3798,-0.5935,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.073,387520.0,5.9178,0.6741,-0.5171,11.35,21.42,-31.84,20.25,-25.0,39.0,2.0,22.58,-29.12,-0.6406,0.2974,-0.5223,-0.478,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.123,387571.0,-17.3224,-0.1429,2.1282,-0.26,-39.44,-1.28,34.0625,1.875,36.5625,-9.9,-39.08,0.42,-0.4891,0.4789,-0.4279,-0.5901,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.174,387621.0,10.2527,0.2302,-0.6283,-2.74,11.48,-17.79,31.5625,11.5,38.875,-12.36,12.79,-16.38,-0.5133,0.4162,-0.5052,-0.5551,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.223,387671.0,-5.1367,0.2094,-0.4036,2.78,7.95,-3.79,29.0,-11.1875,40.375,-6.82,9.44,-2.46,-0.5247,0.396,-0.5248,-0.5408,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.273,387721.0,-0.0982,0.8748,-0.0295,-5.81,-13.8,3.83,27.875,4.25,41.375,-15.47,-12.5,4.92,-0.4728,0.4543,-0.4875,-0.5766,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.323,387771.0,2.4086,0.0993,-0.2149,1.83,10.98,-3.6,26.875,-4.1875,43.75,-7.82,12.41,-2.62,-0.5081,0.4159,-0.5265,-0.54,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.388,387821.0,-1.8282,0.6054,-0.2618,0.16,-4.73,1.27,27.1875,-2.6875,43.25,-9.52,-3.45,2.07,-0.4924,0.4395,-0.5158,-0.5462,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.424,387871.0,1.7475,0.3709,-0.0916,0.08,1.14,-1.06,26.5,0.25,42.0625,-9.63,2.35,-0.52,-0.4957,0.4405,-0.5276,-0.5309,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.474,387921.0,-0.5356,0.696,0.0829,0.53,0.43,-0.13,25.0,-2.6875,44.375,-9.18,1.67,0.12,-0.4929,0.4415,-0.5403,-0.5198,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.524,387972.0,0.3829,0.6556,0.0709,0.18,0.28,-0.22,23.875,0.5625,42.875,-9.53,1.55,-0.29,-0.4819,0.4503,-0.5483,-0.5142,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.574,388022.0,-0.288,0.8956,0.1756,-0.03,-0.71,-0.1,22.75,0.25,45.1875,-9.74,0.61,-0.53,-0.47,0.4583,-0.5586,-0.507,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.624,388072.0,0.2945,0.8039,0.2258,0.02,-0.04,-0.14,21.25,1.0,45.1875,-9.64,1.38,-0.97,-0.4564,0.465,-0.5712,-0.4993,3.0,0.0,3.0,3.0
2025-09-28 19:58:50.675,388122.0,-0.1505,0.9294,0.0916,-0.18,-0.16,0.16,19.5,-0.0625,45.5625,-9.79,1.34,-1.08,-0.4421,0.4731,-0.5826,-0.4912,3.0,0.0,3.0,3.0
