DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-08-18 15:22:40.965,137850.0,0.0654,0.0818,-0.0502,-0.18,-0.17,0.08,-33.75,71.6875,-5.75,-9.73,-1.46,-1.75,-0.6354,0.0408,-0.7693,0.0518,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.015,137900.0,0.0469,0.0011,-0.0698,-0.11,-0.11,-0.1,-34.5,71.25,-7.0,-9.65,-1.44,-1.94,-0.6348,0.0412,-0.7697,0.054,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.115,138000.0,0.0545,-0.1102,-0.0545,-0.17,-0.17,0.0,-34.5,71.25,-7.75,-9.71,-1.57,-1.78,-0.6365,0.0421,-0.7679,0.0578,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.165,138050.0,0.048,-0.1494,-0.0807,0.0,-0.13,-0.09,-35.6875,70.875,-6.5625,-9.54,-1.57,-1.82,-0.6391,0.0429,-0.7656,0.0598,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.215,138100.0,0.0731,-0.1265,-0.0654,-0.12,-0.04,0.08,-34.1875,71.25,-8.1875,-9.67,-1.52,-1.57,-0.6416,0.0434,-0.7633,0.062,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.265,138150.0,0.0982,-0.1593,-0.1418,-0.08,-0.1,-0.03,-35.25,70.1875,-7.75,-9.64,-1.63,-1.61,-0.6441,0.0444,-0.7609,0.0649,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.314,138200.0,0.1691,-0.2923,-0.3796,-0.03,0.61,-0.35,-36.75,69.75,-7.375,-9.58,-1.05,-1.81,-0.6481,0.0472,-0.7567,0.0718,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.364,138250.0,-0.0785,-0.4821,-0.5825,-1.33,-0.25,0.77,-36.0,70.1875,-7.375,-10.87,-2.16,-0.51,-0.6545,0.0582,-0.7497,0.0787,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.415,138300.0,-0.7145,-0.613,-0.8661,-4.83,2.99,4.83,-38.25,68.6875,-8.1875,-14.32,0.75,3.78,-0.6628,0.0773,-0.7399,0.0847,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.464,138350.0,-3.3292,-1.6624,-3.1525,-11.45,-7.03,9.52,-40.5,67.1875,-6.5625,-20.74,-10.09,8.73,-0.6735,0.1475,-0.72,0.0789,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.514,138400.0,-2.0082,-2.8722,-7.4536,-25.58,-12.82,8.97,-43.5,66.375,-2.5625,-33.69,-18.32,8.64,-0.6861,0.3013,-0.6525,0.1125,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.564,138450.0,0.4505,-4.215,-8.1463,-23.89,-2.92,2.46,-52.75,59.0,11.6875,-29.35,-11.02,3.24,-0.7054,0.4342,-0.5214,0.2053,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.614,138500.0,1.0701,-5.0309,-7.8518,-20.34,6.95,-4.86,-67.0,35.0625,21.0,-21.98,-2.52,-2.96,-0.7142,0.537,-0.3389,0.2946,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.664,138549.0,0.8432,-4.1561,-6.5679,-16.59,23.77,-13.16,-65.875,7.0,32.0,-14.42,14.53,-10.69,-0.7033,0.5936,-0.1479,0.3622,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.764,138649.0,-1.1181,3.3412,5.0484,-5.45,31.68,-17.07,-39.75,-20.5,47.5625,-2.24,22.65,-14.95,-0.6678,0.6136,-0.1248,0.4025,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.814,138699.0,-1.6995,4.5793,9.1924,-14.02,20.75,-9.4,-37.25,-23.875,46.5,-14.6,11.1,-7.75,-0.6904,0.5644,-0.3116,0.3282,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.869,138749.0,-0.7767,4.696,9.9669,-20.52,6.42,-1.45,-46.375,-16.5625,41.0625,-25.7,-1.89,-1.0,-0.6918,0.4537,-0.5206,0.2111,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.914,138799.0,0.3109,2.3529,7.5136,-23.15,-19.16,12.56,-57.0625,3.5625,32.6875,-31.36,-24.49,11.84,-0.6737,0.3075,-0.665,0.0967,3.0,0.0,0.0,3.0
2025-08-18 15:22:41.964,138849.0,0.5378,1.2577,4.2542,-8.23,-20.78,13.14,-51.5,37.5,24.1875,-17.54,-23.59,11.92,-0.661,0.1845,-0.7267,0.0297,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.015,138899.0,3.3183,0.1374,-3.0423,-21.55,13.03,4.25,-27.875,66.5625,18.375,-30.94,10.59,2.76,-0.6511,0.1754,-0.7383,0.0134,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.064,138949.0,-1.2752,1.561,-1.4704,-3.43,-32.88,7.72,-4.0,80.1875,15.5625,-12.58,-36.04,6.15,-0.6464,0.2,-0.7351,0.0432,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.114,138999.0,-4.1048,0.2334,-1.6155,-17.39,-0.86,-3.87,-15.25,82.375,16.0625,-26.08,-5.07,-5.62,-0.6339,0.228,-0.7328,0.0957,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.164,139049.0,0.1549,-0.4102,-0.4614,4.67,-4.85,-3.92,-24.25,83.25,19.5,-3.7,-9.54,-5.9,-0.6251,0.2775,-0.7239,0.0903,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.214,139099.0,1.0592,-0.9665,0.9479,-12.83,-0.88,-2.44,-33.5625,83.1875,28.1875,-21.4,-5.38,-4.02,-0.642,0.2626,-0.7153,0.085,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.264,139149.0,3.4492,-0.1396,0.8716,-5.84,13.26,1.33,-32.5625,81.5625,28.0,-14.66,9.06,0.41,-0.6646,0.2062,-0.71,0.108,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.314,139199.0,1.3581,-0.1494,-2.3551,-6.3,-5.31,11.91,-29.25,80.6875,22.5,-14.92,-9.97,11.5,-0.6709,0.1764,-0.6996,0.171,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.364,139249.0,0.7363,-3.4339,-7.6522,-29.21,0.37,5.8,-23.75,77.25,9.5,-36.08,-6.59,6.45,-0.6747,0.2667,-0.6291,0.2791,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.415,139299.0,1.9199,-4.9,-8.6176,-24.86,8.82,-0.29,-34.0,66.875,3.75,-28.23,-0.11,1.91,-0.6781,0.3948,-0.4813,0.3907,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.464,139349.0,-0.276,-5.7116,-7.7602,-19.38,16.78,-15.84,-53.375,41.5,9.5625,-18.42,7.42,-13.06,-0.6537,0.5212,-0.2947,0.4627,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.514,139399.0,0.3763,-3.7666,-5.4203,-13.11,26.95,-26.02,-61.25,13.25,20.1875,-8.8,18.34,-24.13,-0.5934,0.6188,-0.1452,0.494,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.563,139449.0,2.8034,-0.8083,1.525,13.34,33.9,-29.92,-54.25,-9.75,34.0625,18.48,25.81,-27.85,-0.611,0.6249,-0.0641,0.4818,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.614,139499.0,0.4342,3.9412,7.7722,-4.9,26.25,-12.96,-45.75,-19.75,41.875,-2.36,17.19,-10.21,-0.6689,0.5718,-0.1818,0.4388,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.664,139549.0,-1.7901,5.104,10.4458,-22.66,13.68,-2.19,-47.75,-10.6875,40.375,-25.17,4.56,0.41,-0.7211,0.4611,-0.3926,0.3367,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.713,139599.0,-0.8345,4.3164,10.292,-25.22,-2.68,2.49,-49.5625,10.5,28.25,-32.19,-9.54,3.21,-0.7087,0.3384,-0.5903,0.1865,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.763,139649.0,-0.2531,2.3606,8.022,-18.53,-27.81,-0.37,-35.0,34.5625,22.375,-27.72,-31.2,-0.8,-0.689,0.1956,-0.6957,0.0544,3.0,0.0,0.0,3.0
2025-08-18 15:22:42.813,139699.0,4.9578,1.1246,2.4991,1.52,-12.78,2.72,-5.375,46.0625,24.1875,-8.14,-14.08,1.81,-0.6735,0.0793,-0.7347,0.0179,2.0,0.0,0.0,3.0
2025-08-18 15:22:42.865,139748.0,3.4307,-0.6087,-4.516,-14.41,41.13,-9.02,13.0,41.0625,28.0,-23.89,38.82,-10.04,-0.6672,0.1163,-0.7337,0.0541,1.0,0.0,0.0,3.0
2025-08-18 15:22:42.913,139798.0,-3.111,1.0592,-2.0322,-1.04,-16.66,-1.94,15.5625,39.375,28.6875,-10.07,-20.18,-3.38,-0.6501,0.2078,-0.7283,0.0613,0.0,0.0,0.0,3.0
2025-08-18 15:22:42.963,139848.0,-0.3742,0.4145,-1.0886,-6.57,-3.78,-4.28,11.5625,42.0,30.25,-15.18,-8.2,-5.92,-0.6355,0.2256,-0.7299,0.1119,0.0,0.0,0.0,3.0
2025-08-18 15:22:43.013,139898.0,1.2817,-1.0767,0.0022,-20.08,-0.92,2.27,6.0625,41.375,32.6875,-28.67,-5.48,0.94,-0.6459,0.2217,-0.72,0.1237,0.0,0.0,0.0,3.0
2025-08-18 15:22:43.063,139948.0,2.5515,-0.6545,0.3676,-14.27,19.45,1.28,6.0625,41.1875,32.5,-22.94,14.89,0.77,-0.6729,0.1953,-0.6987,0.1443,0.0,0.0,0.0,3.0
