DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-08-18 15:25:09.959,286843.0,0.0273,0.0196,-0.0273,-0.03,0.1,-0.14,-21.875,79.6875,9.5625,-9.8,0.0,0.65,-0.735,0.0229,-0.6774,-0.0165,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.002,286893.0,0.024,-0.0109,-0.0458,-0.2,0.11,0.1,-21.1875,79.6875,9.1875,-9.97,-0.01,0.9,-0.735,0.0233,-0.6775,-0.0156,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.053,286943.0,0.0469,0.0033,-0.0327,0.14,0.31,-0.29,-22.25,79.6875,8.75,-9.63,0.16,0.5,-0.7351,0.0229,-0.6774,-0.0141,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.102,286993.0,-0.0644,-0.0044,0.024,-0.2,0.28,-0.22,-21.875,79.25,8.75,-9.98,0.13,0.57,-0.7349,0.0238,-0.6776,-0.0145,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.152,287043.0,-0.2923,-0.0393,0.0142,-0.14,0.23,0.07,-20.75,79.6875,8.75,-9.91,0.09,0.87,-0.7351,0.0261,-0.6772,-0.0181,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.202,287093.0,-0.2836,-0.0993,-0.5607,-0.56,1.81,-0.73,-21.1875,80.0625,9.5625,-10.33,1.5,0.09,-0.7363,0.0361,-0.6755,-0.0162,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.302,287193.0,-0.5825,0.0545,-0.2782,-0.04,7.1,-1.03,-24.5,78.5625,12.375,-9.75,6.07,-0.15,-0.7381,0.0748,-0.6705,-0.0042,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.352,287243.0,-0.0425,0.0131,0.6207,-0.75,6.63,-0.6,-27.0625,77.75,13.1875,-10.48,5.72,0.24,-0.7368,0.077,-0.6716,-0.0152,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.402,287293.0,0.024,0.0949,1.2665,-0.5,5.18,-0.38,-25.5625,77.5,15.25,-10.26,4.76,0.42,-0.7352,0.0596,-0.6744,-0.0337,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.452,287343.0,-0.324,0.1418,1.7257,-0.65,3.41,0.09,-21.1875,79.25,14.5,-10.42,3.72,0.84,-0.7308,0.0385,-0.6784,-0.0646,3.0,0.0,0.0,3.0
2025-08-18 15:25:10.502,287393.0,-0.3382,0.0862,2.0846,-0.66,1.54,-0.11,-11.75,82.25,15.25,-10.36,2.76,0.59,-0.7246,0.0134,-0.6808,-0.1057,3.0,0.0,0.0,3.0
