DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-08-18 13:16:20.208,141289.0,-0.0404,-0.0164,-0.0436,-0.37,0.09,0.32,-50.0625,0.25,-18.5,-10.04,-1.44,0.88,-0.6861,-0.1223,-0.6758,0.2401,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.308,141389.0,-0.0491,-0.0076,0.0382,0.4,-0.06,-0.34,-50.0625,-0.5,-19.75,-9.26,-1.58,0.22,-0.6862,-0.1236,-0.6754,0.2404,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.359,141440.0,-0.0175,0.0,0.0011,0.63,-0.49,0.1,-50.5,1.0,-20.5,-9.03,-2.01,0.66,-0.6865,-0.1229,-0.6755,0.2394,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.408,141489.0,0.0316,-0.0153,0.0022,0.41,0.01,0.42,-51.0625,0.25,-19.0,-9.25,-1.49,0.98,-0.6864,-0.1233,-0.6754,0.2399,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.558,141639.0,0.3971,0.0022,0.0011,-0.44,1.76,-1.69,-51.5,-0.75,-19.0,-10.11,0.31,-1.04,-0.6844,-0.14,-0.6689,0.2542,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.608,141689.0,-0.2531,-0.0109,-0.0415,0.45,-0.42,-1.67,-51.5,-2.0,-19.25,-9.21,-1.89,-1.03,-0.6846,-0.1382,-0.6695,0.2531,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.658,141739.0,0.2389,0.0829,0.0382,-0.19,-1.03,0.41,-51.5,-2.25,-20.0625,-9.87,-2.5,1.02,-0.6837,-0.1379,-0.6707,0.2526,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.758,141839.0,0.4821,0.0971,0.1222,-0.13,1.42,0.77,-52.25,-3.0625,-20.5,-9.83,0.08,1.33,-0.6774,-0.1591,-0.668,0.2637,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.808,141889.0,-0.1658,0.0218,0.0,-2.24,1.98,0.61,-51.875,-4.1875,-21.75,-11.95,0.67,1.14,-0.6762,-0.1624,-0.6682,0.2645,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.908,141989.0,-1.3592,-0.2007,-0.54,0.59,4.2,-2.05,-51.0625,-4.5625,-22.0625,-9.07,2.63,-1.53,-0.6788,-0.1367,-0.6746,0.2558,0.0,3.0,1.0,3.0
2025-08-18 13:16:20.958,142039.0,-3.17,-0.3054,-1.7257,4.84,-6.51,-2.27,-51.875,-3.75,-21.0,-4.7,-8.7,-1.86,-0.6829,-0.0723,-0.6884,0.2337,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.008,142089.0,-0.9839,-0.2018,-3.0423,4.8,-4.47,5.23,-53.75,-2.0,-19.75,-4.39,-7.87,5.42,-0.6746,0.0143,-0.7001,0.2339,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.058,142139.0,-1.3581,-0.3731,-0.7876,6.0,-5.66,-9.81,-54.5,-3.0625,-18.1875,-2.79,-9.95,-9.26,-0.6725,0.0444,-0.6855,0.2753,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.308,142388.0,0.1058,0.9916,2.7074,-30.99,-5.03,10.35,-50.1875,-24.5,-24.0625,-39.29,-10.23,10.9,-0.6703,0.1116,-0.6779,0.2806,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.358,142438.0,6.3988,0.6894,2.1598,22.52,33.22,-24.54,-50.875,-22.0,-21.25,13.62,29.36,-23.13,-0.6875,-0.0135,-0.6541,0.3151,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.457,142538.0,1.5653,0.0993,0.2673,12.56,23.17,-6.61,-54.5625,-1.5,-11.6875,3.72,19.16,-5.21,-0.6726,-0.0307,-0.6542,0.3445,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.557,142638.0,0.5214,0.8454,1.994,6.46,4.28,3.07,-52.1875,14.375,-7.1875,-2.96,1.62,3.5,-0.6686,-0.0778,-0.6871,0.2735,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.607,142688.0,-0.4887,0.7898,2.162,7.75,1.87,0.15,-49.25,27.5,-7.0,-1.89,0.17,0.25,-0.6694,-0.1181,-0.6933,0.2393,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.860,142938.0,-6.5537,-0.649,-3.4863,16.65,-32.07,1.59,-22.5625,75.75,0.5,7.45,-35.45,1.79,-0.68,0.0285,-0.6991,0.2191,0.0,3.0,1.0,3.0
2025-08-18 13:16:21.907,142988.0,-1.4104,-0.7658,-1.8348,36.94,7.5,5.6,-44.5,71.5,9.5625,28.26,2.93,5.65,-0.663,0.0865,-0.7,0.251,0.0,3.0,1.0,3.0
2025-08-18 13:16:22.007,143088.0,0.4516,0.1298,0.1473,-2.21,-1.44,-2.34,-66.875,58.0,24.1875,-10.44,-6.77,-2.08,-0.6625,0.1281,-0.686,0.2723,0.0,3.0,1.0,3.0
2025-08-18 13:16:22.157,143238.0,-2.2537,0.9098,-1.5315,-5.94,-13.57,2.06,-59.75,61.5625,14.0,-15.04,-17.22,2.43,-0.6497,-0.0452,-0.6922,0.311,0.0,3.0,1.0,3.0
