DateTime,Timestamp_ms,Gyro_X,Gyro_Y,Gyro_Z,LinearAccel_X,LinearAccel_Y,LinearAccel_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,RawAccel_X,RawAccel_Y,RawAccel_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Cal_System,Cal_Gyro,Cal_Accel,Cal_Mag
2025-08-01 17:13:05.726,238711.0,2.3998,-0.3872,-0.7123,0.76,-1.22,-3.16,-30.25,9.6875,-12.0,-8.98,-1.58,-2.18,0.4979,0.48,0.4682,-0.5499,0.0,3.0,1.0,3.0
2025-08-01 17:13:05.777,238761.0,2.0693,-0.0665,-0.6698,1.26,-0.87,-3.47,-31.375,6.5,-14.25,-8.45,-1.45,-2.34,0.4646,0.495,0.4442,-0.5847,0.0,3.0,1.0,3.0
2025-08-01 17:13:05.826,238811.0,1.9493,0.1549,-0.6338,0.61,-0.46,-3.37,-29.875,2.25,-13.75,-9.09,-1.25,-2.21,0.4299,0.5106,0.4249,-0.6115,0.0,3.0,1.0,3.0
2025-08-01 17:13:05.876,238861.0,1.5446,0.2116,-0.4985,0.1,-0.71,-2.33,-28.75,-1.375,-15.375,-9.58,-1.66,-1.19,0.3987,0.5248,0.4083,-0.6316,0.0,3.0,1.0,3.0
2025-08-01 17:13:05.977,238961.0,0.2193,1.117,1.153,1.37,8.15,-7.59,-23.25,-9.25,-17.0625,-8.37,7.53,-6.72,0.3495,0.5732,0.3563,-0.6498,0.0,3.0,1.0,3.0
2025-08-01 17:13:06.077,239061.0,-1.7901,0.5312,-0.1091,-2.31,-1.25,2.23,-18.875,-13.5625,-15.6875,-12.1,-1.61,2.49,0.3509,0.5954,0.3632,-0.6249,0.0,3.0,1.0,3.0
2025-08-01 17:13:06.126,239111.0,0.0305,0.3491,-0.1145,0.42,-0.2,-0.67,-18.875,-14.6875,-16.6875,-9.37,-0.64,-0.57,0.3579,0.5915,0.3809,-0.614,1.0,3.0,1.0,3.0
2025-08-01 17:13:06.176,239161.0,-0.5912,0.3131,-0.1854,0.24,1.41,0.27,-18.1875,-12.375,-17.6875,-9.55,0.89,0.22,0.3543,0.5932,0.3881,-0.6099,1.0,3.0,1.0,3.0
2025-08-01 17:13:06.226,239210.0,-0.5803,0.2858,-0.2793,0.12,1.31,-1.09,-17.875,-13.375,-19.375,-9.66,0.67,-1.3,0.3574,0.5891,0.4048,-0.6011,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.276,239260.0,-0.5945,0.1734,-0.4516,-0.11,-0.26,0.18,-17.5,-13.375,-19.5,-9.87,-1.08,-0.14,0.3594,0.582,0.4223,-0.5948,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.326,239310.0,-0.3425,0.1931,-0.3818,0.05,-0.99,-0.32,-16.0,-11.875,-19.5,-9.68,-2.0,-0.76,0.3578,0.5764,0.4363,-0.5911,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.376,239360.0,0.0709,0.2007,-0.2083,0.22,0.28,-0.79,-16.375,-11.875,-22.0,-9.49,-0.85,-1.33,0.3526,0.5759,0.4426,-0.5901,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.426,239410.0,0.0567,0.1909,-0.2149,0.04,0.66,0.01,-16.375,-11.875,-21.1875,-9.66,-0.56,-0.6,0.3473,0.5767,0.4463,-0.5896,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.478,239460.0,0.0065,0.0982,-0.3185,0.09,1.26,-1.07,-16.0,-12.25,-21.5625,-9.59,-0.09,-1.76,0.3419,0.5757,0.4515,-0.5897,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.526,239510.0,-0.2705,0.0273,-0.3894,0.18,0.01,-0.34,-16.0,-12.25,-22.375,-9.47,-1.51,-1.07,0.3392,0.5704,0.4601,-0.5898,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.576,239560.0,-0.0393,-0.0229,-0.3065,0.12,-0.47,-0.8,-15.75,-13.375,-24.0,-9.5,-2.17,-1.53,0.3356,0.5654,0.4666,-0.5916,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.626,239610.0,0.4614,-0.0884,-0.1134,0.09,0.5,-0.66,-13.875,-13.0625,-22.0,-9.52,-1.28,-1.34,0.3304,0.5641,0.4651,-0.597,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.675,239660.0,0.4669,-0.1854,-0.0338,-0.21,-0.3,-0.5,-14.6875,-13.0625,-23.25,-9.82,-2.13,-1.07,0.3254,0.5648,0.4587,-0.6039,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.725,239710.0,0.6185,-0.4941,-0.5716,-0.83,3.16,-1.29,-15.0,-12.6875,-21.1875,-10.43,1.19,-1.66,0.317,0.5612,0.4512,-0.6172,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.776,239760.0,-0.1124,-0.9599,-1.6886,-2.96,1.16,-0.33,-15.375,-14.875,-21.5625,-12.43,-1.38,-0.32,0.3037,0.5378,0.4586,-0.6389,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.826,239810.0,-0.4036,-1.6722,-2.99,-6.28,10.21,-4.22,-14.25,-14.1875,-20.375,-15.36,6.54,-3.64,0.2849,0.4844,0.4852,-0.6699,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.926,239910.0,0.0098,0.6676,0.3272,-6.8,2.49,-5.44,-19.0625,-16.75,-19.1875,-15.26,-2.33,-4.34,0.2327,0.4462,0.4949,-0.7084,2.0,3.0,1.0,3.0
2025-08-01 17:13:06.976,239960.0,0.1636,0.2083,1.741,-4.71,-5.43,3.88,-19.5,-17.75,-18.375,-13.48,-9.69,4.92,0.2477,0.4697,0.4758,-0.7012,2.0,3.0,1.0,3.0
